Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhännän laivaretki,717,951-20-3969-9,2000-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Leon, Donna.",Unelmien tyttö : komisario Guido Brunettin tutkimuksia,714,978-951-1-24050-1,2010-01-01
"84.2, 85.22, 85.22 KU","Tison, Annette.",Barbapapa tärkeissä töissä,714,978-951-1-25309-9,2011-01-01
"84.2, 84.2 d, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Nesbø, Jo.",Panssarisydän,714,978-951-0-36254-9,2010-01-01
84.2,"Gustafsson, Laura.",Huorasatu,713,978-952-264-063-5,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Sandberg, Timo.",Kalmankokko : rikosromaani,712,978-951-23-5374-3,2011-01-01
"85.22, 85.22 KU","Cousins, Lucy.",Maisan kaupunkiloma,711,978-951-0-37744-4,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2 KAUHU","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset koulutiellä,710,978-951-1-25119-4,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Míler, Zdeněk.",Myyrä ja sateenvarjo,710,978-951-31-3340-5(sid.),2005-01-01
"84, 84.2, 84.2 NA, NA 84.2","Meyer, Stephenie.",Aamunkoi,710,978-951-0-35116-1,2009-01-01
"05.1, 61.7405, 61.74051",,Hifimaailma,709,1796-6507,2007-01-01
"84.2, 84.2 R, 84.2 RO","Lennox, Judith.",Yöntummat vuodet,708,978-951-0-37967-7,2011-01-01
"84.2, 84.2 Huu, 84.2 Huumori, 84.2 HUUMORI, 84.2 VI, 84.2 VITSI, 84.2UT, 85",,Hai haarukassa,708,978-951-1-23791-4,2009-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Hill, Antonio.",Kuolleiden lelujen kesä,707,978-951-1-25964-0,2012-01-01
"84, 84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Nesbø, Jo.",Kukkulan kuningas,706,978-951-0-34705-8,2009-01-01
"85.22, 85.22 KU","Jennings, Sharon.",Franklin haluaa olla iso,706,978-951-31-5339-7,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Tison, Annette.",Barbapapan teatteri,705,978-951-1-22417-4,2008-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 TYTTÖ, 85","Parvela, Timo.",Ella ja Paterock,705,951-31-3130-0,2004-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, Jännitys","Matintupa, Tuula T.",Syntymään tuomittu : jännitysromaani,703,978-951-883-307-2,2012-01-01
84.2,"Franzén, Peter.",Tumman veden päällä,702,978-951-31-5404-2,2010-01-01
61.4,,Samsung [Esine] : NP200B.,701,,2012-01-01
"84.2, 84.2 EL, 84.2 ELÄIN","Jalo, Merja.",Jesse fanikoira,701,978-951-0-37722-2,2011-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Isomäki, Risto.",Con rit,699,978-951-31-6277-1,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Adler-Olsen, Jussi.",Vanki,699,978-951-20-8754-9,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Louhi, Kristiina.",Tomppa ja kummaa,698,978-951-31-4630-6,2009-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 LA, 84.2 POIKA, 85","Kallioniemi, Tuula.",Salapoliisi Konsta,697,978-951-1-22449-5,2008-01-01
"85.22, 85.22 KU","Koivisto, Jari.",Salaperäinen lentäjä,697,978-951-866-802-5,2011-01-01
"84.2, 84.2 NA","Meyer, Stephenie.",Uusikuu,695,978-951-0-33252-8,2007-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","James, Peter.",Kuolema ei riitä,695,978-952-492-521-1,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 Huu, 85.22 KU","Kunnas, Mauri.",Kuningas Artturin ritarit : kappale kissojen varhaista historiaa,694,951-1-14974-1,1997-01-01
"84.2, 84.2 Kauhu, 84.2 KAUHU, 84.2 NO","Stine, R. L.",Ihmissusien yö,693,978-951-32-3107-1,2011-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Sipilä, Jarkko.",Kylmä jälki,691,978-951-20-7527-0,2007-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Harjanne, Maikki.",Minttu saa oman koiran,690,978-951-1-21800-5,2007-01-01
84.2,"Hämeen-Anttila, Virpi.",Toisen taivaan alla : romaani,689,978-951-1-24578-0,2010-01-01
"84.2, 84.2 KU, 84.22, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhännän silakkaretki,689,951-20-3970-2,1992-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Cousins, Lucy.",Maisa menee päiväkotiin,688,978-951-0-35049-2,2009-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Nopola, Tiina.",Siiri ja yläkerran Onni,685,951-31-2816-4,2003-01-01
"84, 84.2, 84.2 R, 84.2 RO, 84.2 Vii","Lehtinen, Tuija.",Nappikaupan naiset,685,978-951-1-23936-9,2009-01-01
84.2,"Hämeen-Anttila, Virpi.",Tapetinvärinen : toisten muistelmia,684,978-951-1-26448-4,2012-01-01
"52 Scifi, 77.49, 77.4983","Reynolds, David West.",Star wars : episodit I-VI : kuvitettu opas,682,978-951-0-33253-5,2007-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Soininvaara, Taavi.",Valkoinen kääpiö,682,978-951-1-26322-7,2012-01-01
"84.2, 84.2 RO","Green, Jane.",Kuviot uusiksi,682,978-951-23-5270-8,2011-01-01
"84.2, 84.2 - Tavutetut, 84.2 HL, 84.2 TA, 84.2 TAVU, 85.12 H, 85.22 Tav","Bradman, Tony.",Kanerva Keijun taikaloitsu,682,978-951-883-065-1,2010-01-01
"84.2, 84.2 H, 84.2 HE, 84.2 HELP, 84.2 HEVOS","Hallberg, Lin.","Yli esteiden, Sinttu!",681,978-951-31-6322-8,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe mummolassa,680,951-1-14401-4,1996-01-01
84.2,"Jonasson, Jonas.",Satavuotias joka karkasi ikkunasta ja katosi,680,978-951-0-37010-0,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Sandberg, Timo.",Vainooja : rikosromaani,680,978-951-23-5537-2,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 Jän, 84.2 KAUHU, 85","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset,679,978-951-1-22868-4,2008-01-01
"84.2, 84.2 R, 84.2 RO, 84.2R","Steel, Danielle.",Uusi aamu,679,978-951-0-35832-0,2010-01-01
"69.62 KU, 85.22, 85.22 KU","Koivisto, Jari.",Miina ja Manu koulutiellä,679,978-951-866-781-3,2010-01-01
"84.2, 84.2 - Kauhu, 84.2 Kauhu, 84.2 KAUHU, 84.2 NO",,Älä lue pimeässä : 210 karmivaa tarinaa,678,978-951-1-25132-3,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Nopola, Tiina.",Siiri ja sotkuinen Kerttu,677,978-951-31-3114-2,2004-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Clancy, Tom.",Elävänä tai kuolleena,675,978-951-0-38026-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Bourgeois, Paulette.",Franklin saa vieraan,675,978-951-31-4160-8,2008-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J","McCall Smith, Alexander.",Harhapolkuja savannilla,674,978-951-1-26227-5,2012-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Kepler, Lars.",Paganini ja paholainen : rikosromaani,673,978-951-31-5496-7,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Rosman, Ann.",Majakkamestarin tytär,673,978-952-5637-01-4,2011-01-01
84.2,"Chamberlain, Diane.",Valheiden takaa,673,978-951-0-39100-6,2012-01-01
"84.2, 84.2 KU, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viiru ja Kososen kukko,671,951-31-0861-9,1996-01-01
"84.2, 85.22, 85.22 KU","Cousins, Lucy.",Maisa lähtee lomalle,671,978-951-0-36285-3,2010-01-01
"84.2, 84.2 Huu, 84.2 Huumori, 84.2 HUUMORI, 84.2 VI, 84.2 VITSI, 84.2UT, 85",,Torakka tähtisateessa,670,978-951-1-24371-7,2010-01-01
"84.2, 84.2 KU, 85.2, 85.22, 85.22F","Míler, Zdeněk.",Myyrän housut,670,9789513116972,2001-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 85","Parvela, Timo.",Ella ja Pate,669,951-31-1632-8,1999-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Koiramäen Martta ja Ruuneperi,669,951-1-20516-1,2005-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wolde, Gunilla.",Sanna menee päiväkotiin,668,951-31-0904-6,1996-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe sirkuksessa,666,951-1-09034-8,1987-01-01
"84.2, 84.2 SO, 84.2 SOTA","Sirén, Esa.",Aunuksen terässade,660,978-951-20-8586-6,2011-01-01
84.2,"Palmgren, Reidar.",Sudenmarja : romaani,659,978-951-1-26487-3,2012-01-01
84.2,"Shields, Carol.",Ruohonvihreää,658,978-951-1-24980-1,2012-01-01
"84.2, 84.2 SA, 85.11, 85.32, 85.32 SARJA, 85.32F",,Ihan Ankkana : Aku Ankka 75 vuotta,657,978-951-32-2693-0,2009-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Jungstedt, Mari.",Aamun hämärissä,657,978-951-1-23941-3,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Coben, Harlan.",Ruma totuus,657,978-951-0-38570-8,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2B","Parvela, Timo.",Ella ja kaverit juhlatuulella,656,978-951-31-5719-7,2010-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HL, 85","Kallioniemi, Tuula.",Pusuja ja pulmia : Reuhurinteen ala-aste,656,951-1-15381-1,1998-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhännän ystävä,655,951-20-3977-X,2000-01-01
84.2,"Brunk Holmqvist, Karin.",Pieni potenssipuoti,654,978-952-5637-54-0,2011-01-01
"84.2, 84.2 FA, 84.2 FAN","Sinisalo, Johanna.",Enkelten verta,654,978-951-851-414-8,2011-01-01
84.2,"Edwardson, Åke.","Niin korkealla pääskyset, ettei niitä nähdä voi",653,978-951-0-38247-9,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.","Hyvää yötä, Puppe",653,978-951-1-23642-9,2009-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","LaPlante, Alice.",Hämärän huoneet,651,978-951-1-25446-1,2012-01-01
"84.2, 85",,Risto Räppääjä [Videotallenne].,651,6420201176146,2008-01-01
"84.2, 84.2 Huumori, 84.2 HUUMORI, 84.2 VI, 84.2 VITSI",,Lunttaava laiskiainen : 400 uutta koululaisvitsiä,651,978-951-1-25543-7,2011-01-01
84.2,"Sinivaara, Irja.",Kevään hämärä,650,978-951-31-6285-6,2011-01-01
"84.2, 85.11, 85.22, 85.22 KU",But excuse me that is my book,Se on totta vieköön minun kirjani,649,978-951-0-36199-3,2010-01-01
84.2,"Samartin, Cecilia.",Kaunis sydän,649,978-952-5637-69-4,2012-01-01
"85.22, 85.22 KU","Korolainen, Tuula.",Muumien värikäs päivä,648,978-951-31-5973-3,2011-01-01
"84.2, 84.2 - Kauhu, 84.2 Jän, 84.2 Kauhu, 84.2 KAUHU, 84.2 NO, 85","Stine, R. L.",Kuka katoaa seuraavaksi?,647,978-951-32-2823-1,2009-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HL, 85","Kallioniemi, Tuula.",Reuhurinteen ala-aste,646,951-1-14973-3,1997-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Jansson, Anna.",Haudankaivaja,645,978-951-20-8100-4,2009-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Hiltunen, Pekka.",Vilpittömästi sinun,645,978-951-20-8510-1,2011-01-01
"84.2, 84.2 EL, 84.2 ELÄIN","Jalo, Merja.",Jesse seurapiirikoira,645,978-951-0-38464-0,2012-01-01
"84, 84.2","Tuominen, Pirjo.",Naistenvalssi,644,978-951-31-4935-2,2009-01-01
"84, 84.2","Nousiainen, Miika.",Vadelmavenepakolainen,644,978-951-1-22090-9,2007-01-01
"05.1, 61, 61.051",,MikroPC.,644,0785-9988,1988-01-01
"05.1, 59.34051",,KG : valitse kevyt olo.,644,1796-7163,2007-01-01
"84.2 DIS, 84.2 SA, 85.0, 85.11, 85.32, 85.32 SA, 85.32 SARJA, 85.32F","Rosa, Don.","Roope Ankan elämä ja teot. 2, [Kaikki lisäseikkailut]",643,978-951-32-2313-7,2007-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wolde, Gunilla.",Sanna lääkärissä,643,951-30-3926-9,1977-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Laine, Matti.",Eksytetty,642,978-951-20-8585-9,2011-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Hoag, Tami.",Hautaa syvemmällä,641,978-951-0-37006-3,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 Jän, 84.2 KAUHU, 85","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset kesälaitumilla,641,978-951-1-24224-6,2010-01-01
84.2,"Murakami, Haruki.",Norwegian wood,640,978-951-31-6296-2,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Pakkanen, Outi.",Toinen kerros,640,978-951-1-26585-6,2012-01-01
"84.2, 84.2 R, 84.2 Vii","Thayer, Nancy.",Charlotten puutarha,640,978-951-23-5240-1,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Bagge, Tapani.",Sininen aave,640,978-951-31-5865-1,2011-01-01
84.2,"Rosnay, Tatiana de.",Viimeinen kesä,640,978-951-0-36062-0,2011-01-01
"85.2, 85.22, 85.22 KU","Kanto, Anneli.",Paavo Virtanen ja tyttöjen tavarat,639,978-951-23-5431-3,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Häkämies, Kari.",Poliittinen ruumis,638,978-952-5918-74-8,2012-01-01
"84, 84.2","Tuominen, Pirjo.",Alakuloinen romanssi,638,951-31-3710-4,2006-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Reichs, Kathy.",Paholaisen luut,638,978-951-0-39099-3,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2D","Adler, Elizabeth.",Unelmien Saint-Tropez,637,978-951-20-8263-6,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Tison, Annette.",Barbapapan puu,637,978-951-1-21878-4,2007-01-01
"84.2, 84.2 JÄN","Ruiz Zafón, Carlos.",Taivasten vanki,636,978-951-1-26474-3,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Häkämies, Kari.",Presidentin murhe : rikosromaani,636,978-951-851-367-7,2011-01-01
"84.2, 84.2 SA, 85.0, 85.11, 85.32, 85.32 SARJA, 85.32F","Barks, Carl.",Kolme rohkeaa miestä,636,978-951-32-2305-2,2007-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Higgins, Jack.",Kostoisku,636,978-951-20-8406-7,2011-01-01
"85.32, 85.32 SA","Jarla, Pertti.",Fingerpori. 5,635,978-952-270-031-5,2012-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Hill, Eric.",Puppe saa pikkusiskon,635,951-1-10827-1,1989-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Widmark, Martin.",Koulun arvoitus,635,978-951-31-4745-7,2010-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas tulee iloiseksi,633,978-951-31-0395-8,1994-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Dahl, Arne.",Pimeyden kutsu,633,978-951-1-24835-4,2011-01-01
84.2,"Isokallio, Kalle.",Maailmanparantaja,632,978-951-31-6282-5,2011-01-01
"84, 84.2","Mustonen, Enni.",Parittomat,632,978-951-1-23023-6,2008-01-01
"84.2, 85.32, 85.32 SA, 85.32 SARJA, 85.32F","Rosa, Don.",Pako Kielletystä laaksosta ja muita Don Rosan parhaita,630,978-951-32-2887-3,2010-01-01
"84.2, 84.2 KU, 84.2F, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Herra Hakkaraisen numerot,630,951-1-19740-1,2004-01-01
84.2,"Kesävuori, Saara.",Äidin rakkaus,630,978-951-31-6139-2,2011-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän, 84.2J","Arhippa, Pirkko.",On ruusu punainen : jännitysromaani,630,978-951-882-900-6,2009-01-01
"84.2, 85.22, 85.22 KU","Moomin and the moonlight adventure, suomi",Muumin kuutamoseikkailu,629,978-951-0-37128-2,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Tison, Annette.",Barbapapa,629,951-1-07044-4,1990-01-01
"84, 84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Remes, Ilkka.",Pyörre,627,978-951-0-33067-8,2008-01-01
84.2,"Aumasto, Marjaana.",Kuin isä poikaansa : romaani,625,978-951-31-6600-7,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Baldacci, David.",Henkeen ja vereen,625,978-951-20-8376-3,2011-01-01
"82.4, 84.2","Stockett, Kathryn.",Piiat,624,978-951-0-36189-4,2010-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL","Widmark, Martin.",Sahramin arvoitus,624,978-951-31-5233-8,2011-01-01
"84.2, 85.22, 85.22 KU","Míler, Zdeněk.",Myyrä puhemiehenä,623,951-31-2511-4,2002-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä käy koulua,623,951-20-3973-7,1992-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Evanovich, Janet.",Herttaseiska,623,978-951-0-38099-4,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J","McCall Smith, Alexander.",Teetä ja sympatiaa,623,978-951-1-23954-3,2011-01-01
"84.2, 84.2 R","Weiner, Jennifer.",Ikuiset ystävät,622,978-951-0-37785-7,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Beckett, Simon.",Multiin kätketyt,622,978-951-23-5385-9,2011-01-01
"84.2, 84.2 R, 84.2 RO, 84.2 Rom, 84.2R","Roberts, Nora.",Kaukainen unelma,622,978-951-20-7858-5,2009-01-01
"85.22, 85.22 KU","Tison, Annette.",Barbapapan muodot,621,978-951-1-25466-9,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Colfer, Eoin.",Hiuskarvan varassa,621,978-951-0-38246-2,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Hill, Eric.",Puppe osaa laskea,620,951-1-16277-2,1999-01-01
"0.51, 05.051, 05.1, 84.2",,Gloria.,620,0783-6856,1986-01-01
"84.2, 84.2 NA, 84.2 SCI, 84.2 Scifi","Collins, Suzanne.","Nälkäpeli. 2,Vihan liekit",620,978-951-0-37212-8,2011-01-01
"84.2, 84.2 EL, 84.2 Elä, 84.2 ELÄIN, 85","Jalo, Merja.",Jesse pentukoira,620,978-951-0-35899-3,2010-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Nuotio, Eppu.",Paine : romaani,619,978-951-1-24223-9,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Enger, Thomas.",Aavekipu,618,978-951-1-24743-2,2011-01-01
"84.2, 84.2B, 85, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja kuuluisa Kamilla [Äänite],618,978-951-31-5081-5,2009-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Brown, Dan.",Kadonnut symboli,618,978-951-0-31919-2,2009-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Tatu ja Patu Helsingissä,618,978-951-1-26284-8,2012-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Sipilä, Jarkko.",Prikaatin kosto,618,978-951-20-7989-6,2009-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ",Arnaldur Indriðason.,Jyrkänteen reunalla,617,978-952-5410-65-5,2011-01-01
"84.2, 85, 85.12 LA","Nopola, Sinikka.",Risto Räppääjä ja kauhea makkara [Äänite],617,951-31-3310-9,2005-01-01
"84.2, 84.2 H , 84.2 HL, 85","Widmark, Martin.",Hotellin arvoitus,617,951-31-3030-4,2004-01-01
84.2,"Kähkönen, Sirpa.",Hietakehto : romaani,617,978-951-1-26320-3,2012-01-01
"82.14 D, 84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Clark, Mary Higgins.",Murha sydämellä,615,978-951-31-4528-6,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Korolainen, Tuula.",Kissa Killin kiukkupussi,614,978-951-31-3896-7,2007-01-01
"84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Missä Puppe piileksii?,614,978-951-1-24198-0,2009-01-01
84.2,"Mitchell, Rain.",Tasapainoilua,614,978-951-31-6124-8,2012-01-01
"84.2, 84.2 RO","Lehtinen, Tuija.",Tuhansien aamujen talo,614,978-951-1-26735-5,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, Jännitys","Wennstam, Katarina.",Turman lintu : jännitysromaani,613,978-951-1-25863-6,2012-01-01
84.2,"Aho, Elisabet.",Sisar : historiallinen romaani vuosilta 1918-1924,613,978-951-1-25158-3,2011-01-01
84.2,"See, Lisa.",Shanghain tytöt,613,978-951-0-37023-0(sid.),2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2 Jän","Lehtolainen, Leena.",Rivo satakieli,613,951-31-3386-9,2005-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Bagge, Tapani.",Kasvot katuojassa,611,978-952-5918-27-4,2011-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Holt, Anne.",1222,611,978-951-20-7725-0,2008-01-01
"84.2, 84.2 R","Kinsella, Sophie.",Minishoppaaja,610,978-951-0-37191-6,2011-01-01
"84.2, 85.32, 85.32 SA, 85.32 SARJA","Neel, Julien.",Päiväkirjaelämää,610,978-951-20-8461-6,2011-01-01
"84.2, 84.2 HELP, 84.2 HL, 85.11, 85.12 H, 85.22","Bradman, Tony.",Kanerva ja Rolle,610,951-882-635-8,2006-01-01
"85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe ja yllätyslahja,610,978-951-1-24199-7,2010-01-01
"84, 84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Pakkanen, Outi.",Talvimies : jännitysromaani,609,978-951-1-22087-9,2007-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Bauer, Belinda.",Hautanummi,608,978-951-23-5297-5,2011-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Fossum, Karin.",Paha tahto : Konrad Sejer -romaani,608,978-951-0-35093-5,2009-01-01
"84, 84.2, 84.2 RO, 84.2R","Kivelä, Anneli.",Kotiin Katajamäelle,607,978-951-23-4840-4,2007-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Wennstam, Katarina.",Tahra : jännitysromaani,607,978-951-1-24992-4,2011-01-01
"84.2, 85.22, 85.22 KU","Kanto, Anneli.",Vilma Virtanen ja uimataito,607,978-951-23-5291-3,2011-01-01
"84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Herra Hakkaraisen aakkoset,607,951-1-17427-4,2001-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 Jän, 84.2 KAUHU, 84.2B, 85","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset ja kevättä kylkiluissa,606,978-951-1-23723-5,2009-01-01
"84.2, 84.2 R, 84.2 RO, 84.2 Vii, 84.2R","Kelly, Cathy.",Elämän taika,605,978-951-20-8101-1,2009-01-01
"84.2, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85.11, 85.12, 85.12 H","French, Vivian.",Tuomo Tipun uudet kengät,605,951-882-519-X,2005-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Remes, Ilkka.",Ylösnousemus,605,978-951-0-39388-8,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Thompson, Jim.",Valkoinen viha,604,978-951-0-39015-3,2012-01-01
"84. 2, 84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Child, Lee.",61 tuntia,603,978-951-23-5262-3,2010-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Nesbø, Jo.",Pelastaja,603,978-951-0-31892-8,2007-01-01
84.2,"Ellilä, Kirsti.",Ristiaallokkoa,602,978-951-23-5375-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.",Puhveli-Billin lännensirkus,602,951-1-15532-6,1998-01-01
"05.1, 82.144051, 84.2, 85.32051",,Maailman vahvin nalle.,602,0355-9173,1973-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe menee juhliin,602,951-1-12330-0,1992-01-01
84.2,"Untinen-Auel, Jean M.",Maalattujen luolien maa,602,978-951-0-36599-1,2011-01-01
84.2,"Swärd, Anne.",Kesällä kerran,601,978-951-1-26076-9,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Fossum, Karin.",Varoitus : Konrad Sejer -romaani,600,978-951-0-36253-2,2010-01-01
"84, 84.2","Tuominen, Pirjo.",Kotiopettaja,599,978-951-31-4287-2,2008-01-01
