Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 5,Karu totuus : Greg Heffleyn julkaisu",708,978-951-0-39649-0,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Nopola, Tiina.",Siiri ja yläkerran Onni,706,951-31-2816-4,2003-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Kunnas, Mauri.",Seitsemän tätiä ja aarre,705,951-1-19739-8,2004-01-01
"84.2, 84.2 JÄN","Verronen, Maarit.",Varjonainen,702,978-951-31-7135-3,2013-01-01
,,Kuulokkeet.,702,,uuuu-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 POIKA, 85.12 LA","Kallioniemi, Tuula.","Konsta, talenttitähti",701,978-951-1-25225-2,2011-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 JÄ, 84.2 JÄN","Holt, Anne.",Kuoleman tahdissa,700,978-951-20-8542-2,2011-01-01
"84.2, 85.22, 85.22 KU","Kanto, Anneli.",Vilma Virtanen ja uimataito,700,978-951-23-5291-3,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Kaikkien aikojen avaruuskirja,700,978-951-1-21600-1,2007-01-01
"52 Scifi, 77.49, 77.4983","Reynolds, David West.",Star wars : episodit I-VI : kuvitettu opas,698,978-951-0-33253-5,2007-01-01
"84.2, 84.2 KU, 84.22, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhännän silakkaretki,698,951-20-3970-2,1992-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Arhippa, Pirkko.",Kipunuora : jännitysromaani,697,978-951-883-138-2,2010-01-01
84.2,"Lehtinen, Tuija.",Morsiuskamari,697,978-951-1-27361-5,2013-01-01
"85.22, 85.22 KU","Harjanne, Maikki.",Minttu urheilee,696,978-951-1-25427-0,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Remes, Ilkka.",Omertan liitto,695,978-951-0-39874-6,2013-01-01
84.2,"Hirvisaari, Laila.","Me, Keisarinna : romaani",693,978-951-1-26319-7,2013-01-01
"84.2, 84.2 VIP","Tervo, Jari.",Jarrusukka.,693,978-952-67705-1-2,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Harjanne, Maikki.",Minttu prinsessana,693,978-951-1-22235-4,2009-01-01
84.2,"Delacourt, Grégoire.",Onnen koukkuja,692,978-951-0-39287-4,2013-01-01
"84.2, 84.2 H, 84.2 Hel, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85","Widmark, Martin.",Koulun arvoitus,691,978-951-31-4745-7,2010-01-01
84.2,"Nousiainen, Miika.",Metsäjätti,690,978-951-1-25534-5,2011-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä Amerikassa,687,951-20-3981-8,1992-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 Huu, 85.22 KU","Kunnas, Mauri.",Kuningas Artturin ritarit : kappale kissojen varhaista historiaa,686,951-1-14974-1,1997-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN, Jännitys","Lupton, Rosamund.",Sisar,684,978-951-20-8755-6,2012-01-01
"84.2, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2B, 85.11, 85.12, 85.12 H","Goodhart, Pippa.",Jojon syntymäpäivä,683,951-882-517-3,2005-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ","Jungstedt, Mari.",Kevään kalpeudessa,682,978-951-1-24513-1,2011-01-01
05.1,,Viva!.,680,1795-9950,2005-01-01
"84.2, 84.2 Fan, 84.2 FAN, 84.2 NO, 84.2F, 84.2Fan","Rowling, J. K.",Harry Potter ja Feeniksin kilta,679,978-951-31-2907-1,2004-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä suksilla,679,951-20-3971-0,1992-01-01
"84.2, 84.2 D, 84.2 J, 84.2 JÄ, 84.2 JÄN","Clark, Mary Higgins.",Perinnön varjo,678,978-951-31-5892-7,2011-01-01
84.2,"Franzén, Peter.",Samoilla silmillä,677,978-951-31-7431-6,2013-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas tulee iloiseksi,674,978-951-31-0395-8,1994-01-01
"85.22, 85.22 KU","Kanto, Anneli.",Perttu Virtanen ja kauhea kateus,674,978-951-23-5603-4,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Hill, Antonio.",Kauniit kuolemat,674,978-951-1-27082-9,2013-01-01
"84.2, 85.22, 85.22 KU","Louhi, Kristiina.",Tompan uusi koti,673,978-951-31-6578-9,2012-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2B","Parvela, Timo.",Ella ja kaverit juhlatuulella,673,978-951-31-5719-7,2010-01-01
84.2,"Marttinen, Annamari.",Mitä ilman ei voi olla,673,978-951-31-7136-0,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Juhani, Risto.",Ei tikkua ristiin,670,978-952-01-0576-1,2012-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Lehtolainen, Leena.",Viimeinen kesäyö ja muita kertomuksia,670,951-31-3709-0,2006-01-01
"65.2, 65.8","Lipkowitz, Daniel.",LEGO ideakirja : rakenna mitä vain,668,978-951-0-38845-7,2012-01-01
84.2,"Alvtegen, Karin.",Todennäköinen tarina,668,978-951-0-37945-5,2012-01-01
84.2,"Vuori, Kristiina.",Siipirikko,667,978-951-31-7084-4,2013-01-01
84.2,"Peetz, Monika.",Seitsemän päivää ilman,667,978-952-492-702-4,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Louhi, Kristiina.",Tomppa ja kummaa,667,978-951-31-4630-6,2009-01-01
84.2,"Lehtinen, Lasse.",Nätti-Jussi : suomalaisen seikkailijan elämäkerta,666,978-952-5856-65-1,2012-01-01
"85.22, 85.22 KU","Koivisto, Jari.",Miina ja Manu Ahdin valtakunnassa,666,978-951-866-829-2,2012-01-01
68.2051,,Maku : kotikokkaajan ruokalehti.,666,1459-4447,2003-01-01
"85.22, 85.22 KU","Kunnas, Mauri.","Riku, Roope ja Ringo : värikäs päivä",666,978-951-1-25803-2,2012-01-01
84.2,"Rissanen, Pirjo.",Muistot,665,978-951-20-8127-1,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Lehane, Dennis.",Kuutamomaili,664,978-951-31-6485-0,2012-01-01
"84.2, 84.2 RO","Luhtanen, Sari.",Tuulin viemää,664,978-951-31-6033-3,2011-01-01
"84.2, 84.2 SO, 84.2 SOTA","Haapanen, Atso.",Sissipartio Verkko,663,978-951-23-5572-3,2012-01-01
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 4,Kovan onnen kesä : Greg Heffleyn julkaisu",663,978-951-0-38693-4,2012-01-01
"59.55, 99.1","Kanto, Anneli.",Pala palalta pois : kertomuksia Alzheimerin taudista,662,978-951-20-9180-5,2013-01-01
"85.22, 85.22 KU","Koivisto, Jari.",Salaperäinen lentäjä,662,978-951-866-802-5,2011-01-01
"84.2, 84.2 NA, 84.2 SCI, 84.2 Scifi","Collins, Suzanne.",Nälkäpeli. Matkijanärhi,661,978-951-0-35830-6,2010-01-01
"84.2, 84.2 RO","Taponen, Jaana.",Stockan herkku,661,978-951-23-5607-2,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Gerritsen, Tess.",Hiljainen tyttö,661,978-951-1-25718-9,2011-01-01
84.2,"Binchy, Maeve.",Koko kadun kasvatti,660,978-951-0-38028-4,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ",Arnaldur Indriðason.,Menneet ja kadonneet,659,978-952-5410-72-3,2012-01-01
"84, 84.2, 84.2 JÄ","Lehtolainen, Leena.",Luonas en ollutkaan,659,978-951-31-3861-5,2007-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Hjorth, Michael.",Oppipoika,658,978-952-5637-38-0,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Cleeves, Ann.",Kuolonkukkia,657,978-951-23-5323-1,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Johansson, J. K.",Laura,657,978-951-31-7005-9,2013-01-01
"84.2, 84.2 D, 84.2 JÄN","Atkinson, Kate.",Kaikkein vähäpätöisin asia,656,978-951-52-2970-0,2012-01-01
"84, 84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Onnenkauppaa Katajamäellä,656,978-951-23-4893-0,2007-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Kunnas, Mauri.",Puhveli-Billin lännensirkus,651,951-1-15532-6,1998-01-01
05.1,,Me naiset sport.,650,2242-6248,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Wennstam, Katarina.",Alfauros : jännitysromaani,650,978-951-1-26730-0,2013-01-01
"84.2, 84.2 Huumori, 84.2 HUUMORI, 84.2 VI, 84.2 VITSI",,Lunttaava laiskiainen : 400 uutta koululaisvitsiä,648,978-951-1-25543-7,2011-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 84.2 KAUHU","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset koulutiellä,648,978-951-1-25119-4,2011-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Katajamäellä kuohuu,647,978-951-23-5080-3,2009-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 J","McCall Smith, Alexander.",Harhapolkuja savannilla,647,978-951-1-26227-5,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wolde, Gunilla.",Sanna lääkärissä,647,951-30-3926-9,1977-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Piripolkka,646,951-23-4320-7,2002-01-01
"84.2, 84.2 SO, 84.2 SOTA","Sirén, Esa.",Rukajärven korpisissit,645,978-951-20-8978-9,2012-01-01
"85.22, 85.22 KU","Cousins, Lucy.",Maisa menee yökylään,645,978-951-0-38994-2,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Tegenfalk, Stefan.",Vihan aika,643,978-952-5637-86-1,2013-01-01
"84.2, 84.2 JÄ, 84.2 JÄN","Roberts, Nora.",Pedon yö,643,978-951-20-8132-5,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe sirkuksessa,641,951-1-09034-8,1987-01-01
"85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe ja yllätyslahja,641,978-951-1-24199-7,2010-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 JÄN","Remes, Matti.",Pako,640,978-951-31-6280-1,2011-01-01
"84.2, 84.2 D, 84.2 JÄN","Cedervall, Marianne.",Tästä talvesta tulee musta,639,978-951-796-881-2,2013-01-01
"84.2, 84.2 RO","Vuori, Kristiina.",Näkijän tytär,638,978-951-31-6771-4,2012-01-01
"85.22, 85.22 KU","Koskimies, Pirkko.",Pupu Tupuna lomalla,638,978-951-32-3369-3,2012-01-01
"84.2, 84.2 RO, 84.2 Rom, 84.2R","Roberts, Nora.",Unelmien aika,637,978-951-20-7859-2,2009-01-01
"84.2, 84.2 KU, 85.2, 85.22, 85.22 KU, 85.22F","Nordqvist, Sven.",Viiru ja Kososen kukko,637,951-31-0861-9,1996-01-01
"84.2, 84.2 H , 84.2 HL, 85","Widmark, Martin.",Hotellin arvoitus,637,951-31-3030-4,2004-01-01
"84.2, 84.2 Huu, 84.2 Huumori, 84.2 HUUMORI, 84.2 VI, 84.2 VITSI, 84.2UT, 85",,Hai haarukassa,636,978-951-1-23791-4,2009-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Leon, Donna.",Kasvot kuvassa : komisario Guido Brunettin tutkimuksia,636,978-951-1-25010-4,2011-01-01
"84.2, 84.2 Rom","Havaste, Paula.",Kaksi rakkautta,635,978-951-20-8206-3,2010-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 POIKA, 85.12 LA, L84.2","Kallioniemi, Tuula.",Konsta leirikoulussa,635,978-951-1-26490-3,2012-01-01
84.2,"Niemi, Mikael.",Veden viemää,634,978-952-01-0869-4,2013-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Bourgeois, Paulette.",Franklin saa vieraan,633,978-951-31-4160-8,2008-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Hill, Eric.",Puppe saa pikkusiskon,632,951-1-10827-1,1989-01-01
"05.1, 65.051",,Burda style.,632,,2012-01-01
"84.2, 84.2 D, 84.2 JÄN","Lapidus, Jens.",Ainakin äiti yritti : rikostarinoita,632,978-952-01-0894-6,2013-01-01
"84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 JÄ","Lehtolainen, Leena.",Väärän jäljillä,632,978-951-31-4288-9,2008-01-01
"84.2, 84.2 Huu, 84.2 Huumori, 84.2 HUUMORI, 84.2 VI, 84.2 VITSI, 84.2UT, 85",,Torakka tähtisateessa,632,978-951-1-24371-7,2010-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2D","Jokinen, Seppo.",Koskinen ja kreikkalainen kolmio,631,951-23-4089-5,2000-01-01
"84.2, 84.2 D, 84.2 JÄN","Hurma, Nina.",Yönpunainen höyhen,630,978-951-20-9175-1,2013-01-01
84.2,"Pättikangas, Eira.",Jäljet veräjällä,630,978-951-23-5445-0,2011-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Cousins, Lucy.",Maisa menee päiväkotiin,629,978-951-0-35049-2,2009-01-01
"84.2, 85.22, 85.22 KU","Cousins, Lucy.",Maisa lähtee lomalle,629,978-951-0-36285-3,2010-01-01
"84.2, 84.2 D, 84.2 JÄN, Jännitys","Alsterdal, Tove.",Haudattu hiljaisuudessa,629,978-951-20-9106-5,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","James, Peter.",Kuolema ei käy kauppaa,629,978-952-492-641-6,2012-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhännän laivaretki,628,951-20-3969-9,2000-01-01
59.34051,,KG : valitse kevyt olo.,628,1796-7163,2007-01-01
"05.1, 36.051, TAL",,Talouselämä.,628,0356-5106,1937-01-01
"05.1, 65, 65.051",,Taito : käsi- ja taideteollisuuslehti,627,1235-6875,1991-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Roberts, Nora.",Jotain uutta,626,978-951-20-8134-9,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhäntä käy koulua,626,951-20-3973-7,1992-01-01
84.2,"Kaunisto, Milja.",Synnintekijä,626,978-951-20-9096-9,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Atkinson, Kate.",Ihan tavallisena päivänä,625,978-951-50-2112-0,2011-01-01
84.2,"Hietamies, Eve.",Yösyöttö,624,978-951-1-24221-5,2010-01-01
84.2,"Kinney, Jeff.",Neropatin päiväkirja : Greg Heffleyn julkaisu,623,978-951-0-35482-7,2009-01-01
"84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Missä Puppe piileksii?,622,978-951-1-24198-0,2009-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän, 84.2J","Nykänen, Harri.",Paha paha tyttö,622,978-952-92-7216-7,2010-01-01
"84.2, 84.2 - Tavutetut, 84.2 HL, 84.2 TA, 84.2 TAVU, 85.12 H, 85.22 Tav","Bradman, Tony.",Kanerva Keijun taikaloitsu,622,978-951-883-065-1,2010-01-01
"84, 84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Nesbø, Jo.",Kukkulan kuningas,621,978-951-0-34705-8,2009-01-01
84.2,"James, E. L.","50 shades. 1, Sidottu",621,978-951-1-26858-1,2012-01-01
"84.2, 84.2 KU, 85.11, 85.2, 85.22, 85.22 KU","Knutsson, Gösta.",Pekka Töpöhännän ystävä,620,951-20-3977-X,2000-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.","Hyvää yötä, Puppe",620,978-951-1-23642-9,2009-01-01
"84.2, 84.2 - Kauhu, 84.2 Kauhu, 84.2 KAUHU, 84.2 NO",,Älä lue pimeässä : 210 karmivaa tarinaa,619,978-951-1-25132-3,2011-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Sarkola, Ritva.",Kuoleman musta kirja : jännitysromaani,618,978-952-202-374-2,2012-01-01
84.2,"Vaahtera, Veera.",Onnellisesti eksyksissä,618,978-951-31-6870-4,2012-01-01
84.2,"Coelho, Paulo.",Accran kirjoitukset,618,978-952-279-067-5,2013-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Grisham, John.",Lakimiehet,618,978-951-0-39106-8,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Läckberg, Camilla.",Pahanilmanlintu,617,978-951-50-1856-4,2009-01-01
"84.2, 84.2 D, 84.2 JÄN","Connelly, Michael.",Luottamuksen hinta,617,978-951-20-9250-5,2013-01-01
"84, 84.2, 84.2 R, 84.2 RO, 84.2 Rom, 84.2R","Roberts, Nora.",Unelmien voima,616,978-951-20-7860-8,2009-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, Jännitys","Dahl, Kjell Ola.",Hyiseen veteen,616,978-952-01-0728-4,2012-01-01
"84.2, 84.2  D, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Tuomainen, Antti.",Parantaja,616,978-952-5874-09-9,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU, 85.22F","Míler, Zdeněk.",Myyrä ja sateenvarjo,616,978-951-31-3340-5(sid.),2005-01-01
"84.2, 84.2 NA","Simukka, Salla.",Punainen kuin veri,615,978-951-31-7123-0,2013-01-01
"84, 84.2, 84.2 D, 84.2 DEK, 84.2 J, 84.2 JÄ, 84.2 Jän, 84.2J","Nesbø, Jo.",Torakat,615,978-951-0-34900-7,2009-01-01
"84.2, 84.2 KU, 85.2, 85.22, 85.22F","Míler, Zdeněk.",Myyrän housut,615,9789513116972,2001-01-01
"84, 84.2, 84.2 RO, 84.2R","Utrio, Kaari.",Vaitelias perillinen,613,978-951-31-4800-3,2009-01-01
84.2,"Blake, Sarah.",Jos saat tämän kirjeen,613,978-952-5637-83-0,2013-01-01
84.2,"Chamberlain, Diane.",Saran totuus,612,978-951-0-37776-5,2011-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 LA, 84.2 POIKA, 85","Kallioniemi, Tuula.",Salapoliisi Konsta,612,978-951-1-22449-5,2008-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Higgins, Jack.",Tappava petos,611,978-951-20-8862-1,2012-01-01
"85.22, 85.22 KU","Kanto, Anneli.",Kastehelmi Virtanen ja oma tahto,610,978-951-23-5536-5,2012-01-01
"84.2, 84.2 R, 84.2 RO","Roberts, Nora.",Jotain sinistä,610,978-951-20-8226-1,2011-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Häkämies, Kari.",Poliittinen ruumis,610,978-952-5918-74-8,2012-01-01
84.2,"Meriläinen, Rosa.",Nainen punainen,609,978-951-851-385-1,2012-01-01
"99.1, 99.11, 99.139","Harden, Blaine.",Leiri 14 : pako Pohjois-Koreasta,609,978-951-20-8794-5,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Remes, Ilkka.",Shokkiaalto,607,978-951-0-36724-7,2010-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HL, 84.2 Jän, 84.2 KAUHU, 85","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset,607,978-951-1-22868-4,2008-01-01
"85.22, 85.22 KU","Kaarla, Riina.",Täältä tulee Pikku Myy : muumipeikon talo,607,978-951-31-6995-4,2013-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ","Nesser, Håkan.",Sukujuhlat : romaani,606,978-951-31-5913-9,2011-01-01
84.2,"Roberts, Nora.",Tulen sylissä,606,978-951-20-8812-6,2013-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 Jän, 84.2 KAUHU, 84.2B, 85","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset ja kevättä kylkiluissa,606,978-951-1-23723-5,2009-01-01
"84, 84.2, 84.2 RO, 84.2 Vii, 84.2R","Kivelä, Anneli.",Uusia tuulia Katajamäellä,604,978-951-23-4950-0,2008-01-01
"84.2, 84.2 H , 84.2 HELP, 84.2 HL, 84.2 Jän, 84.2 KAUHU, 85","Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset kesälaitumilla,604,978-951-1-24224-6,2010-01-01
"84.2, 84.2 Novellit","Nopola, Sinikka.",Matkustan melko harvoin ja muita kirjoituksia,604,978-951-0-39078-8,2012-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wolde, Gunilla.",Sanna menee päiväkotiin,603,951-31-0904-6,1996-01-01
"84.2, 84.2 R, 84.2 RO","Steel, Danielle.",Kunnioita itseäsi,603,978-951-0-37192-3,2011-01-01
84.2,"Hämeen-Anttila, Virpi.",Marionetit : romaani,602,978-951-1-27376-9,2013-01-01
84.2,"Itkonen, Juha.",Hetken hohtava valo,601,978-951-1-26465-1,2012-01-01
"84.2, 85.22, 85.22 KU","Harjanne, Maikki.",Minttu morsiusneitona,601,978-951-1-24734-0,2011-01-01
"85.22, 85.22 KU","Koivisto, Jari.",Miina ja Manu reporttereina,601,978-951-866-820-9,2012-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Mäki, Reijo.",Kolmijalkainen mies,601,978-951-1-24360-1,2010-01-01
"84, 84.2, 84.2 RO, 84.2R","Kivelä, Anneli.",Kotiin Katajamäelle,600,978-951-23-4840-4,2007-01-01
"84.2, 84.2 HELP, 84.2 HELPPO, 84.2 HL, 85.11, 85.12, 85.12 H","French, Vivian.",Tuomo Tipun uudet kengät,599,951-882-519-X,2005-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Wolde, Gunilla.",Sanna ja pikkuveli,598,951-31-2384-7,2002-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Hill, Eric.",Puppe mummolassa,598,951-1-14401-4,1996-01-01
"84.2, 85, 85.12","Lindgren, Astrid.","Ronja, ryövärintytär",598,951-0-10855-3,1981-01-01
"84.2, 84.2 D, 84.2 JÄN","Roslund, Anders.",Kaksi soturia,598,978-951-0-39245-4,2013-01-01
"85.32, 85.32 SA, 85.32 SARJA",,Simpsonit : parhaat 2012,598,978-952-220-477-6,2012-01-01
"84.2, 84.2 VIP","Ruiz Zafón, Carlos.",Marina,598,978-951-1-26475-0,2013-01-01
"85.22, 85.22 KU","Havukainen, Aino.",Veera lääkärissä,598,978-951-1-26046-2,2012-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Dahl, Arne.",Valvova silmä,598,978-951-1-24837-8,2012-01-01
"84.2, 84.2 - Kauhu, 84.2 Jän, 84.2 Kauhu, 84.2 KAUHU, 84.2 NO, 85","Stine, R. L.",Kuka katoaa seuraavaksi?,597,978-951-32-2823-1,2009-01-01
"84.2 DIS, 84.2 SA, 85.11, 85.32, 85.32 SA, 85.32 SARJA, 85.32F","Rosa, Don.","Roope Ankan elämä ja teot. 2, [Kaikki lisäseikkailut]",597,978-951-32-2313-7,2007-01-01
"85.22, 85.22 KU, L85.22",Moomin and the new friend.,Muumi ja uusi ystävä,597,978-951-0-39437-3,2012-01-01
"84.2, 84.2 NOV","Kyrö, Tuomas.",Mielensäpahoittaja ja ruskeakastike [Äänite],596,978-951-0-38999-7,2012-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HL, 85","Kallioniemi, Tuula.",Pusuja ja pulmia : Reuhurinteen ala-aste,594,951-1-15381-1,1998-01-01
"05.1, 61, 61.051, TIE",,Tietokone.,594,0359-4947,1982-01-01
84.2,"Steel, Danielle.",Etelän valot,594,978-951-0-39708-4,2013-01-01
"84.2, 85","Kinney, Jeff.","Neropatin päiväkirja. Greg Heffleyn julkaisu 2,Isoveli isottelee :",594,978-951-0-36036-1,2010-01-01
"84, 84.2, 84.2 R, 84.2 RO, 84.2 Vii","Lehtinen, Tuija.",Nappikaupan naiset,593,978-951-1-23936-9,2009-01-01
"84.2, 84.2 H, 84.2 HELP, 84.2 HELPPO, 84.2 HL","Widmark, Martin.",Sahramin arvoitus,592,978-951-31-5233-8,2011-01-01
"85.22, 85.22 KU",Brave.,Urhea,591,978-951-32-3476-8,2012-01-01
84.2,"Benton, Jim.","Rakas nuija päiväkirjani, täällä taas. 1, Koulu, eikö se ikinä lopu?",589,978-951-32-3644-1,2012-01-01
"84.2, 85.32, 85.32 SA, 85.32 SARJA","Neel, Julien.",Päiväkirjaelämää,589,978-951-20-8461-6,2011-01-01
"84.2, 85.11, 85.2, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas panee töpinäksi,589,978-951-31-0894-6,1996-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas menee kouluun,588,951-31-0893-7,1996-01-01
"84, 84.2","Tuominen, Pirjo.",Alakuloinen romanssi,588,951-31-3710-4,2006-01-01
"84.2, 84.2 RO, 84.2 Vii, 84.2R","Orkoma, Marja.",Unikkopolku 21,587,978-951-883-080-4,2010-01-01
"84.2, 84.2 D, 84.2 JÄ, 84.2 JÄN","Frimansson, Inger.",Kylmä maa,587,978-952-01-0727-7,2012-01-01
"84.2, 84.2 H , 84.2 Hel, 84.2 HELP, 84.2 HL, 85","Kallioniemi, Tuula.",Reuhurinteen ala-aste,586,951-1-14973-3,1997-01-01
84.2,,Risto Räppääjä ja polkupyörävaras [Videotallenne],586,6420291105095,2010-01-01
"84, 84.2, 84.2 D, 84.2 Dek, 84.2 DEK, 84.2 J, 84.2 JÄ","Sipilä, Jarkko.",Seinää vasten,586,978-951-20-7810-3,2008-01-01
"85.11, 85.22, 85.22 KU","Kunnas, Mauri.",Herra Hakkaraisen aakkoset,585,951-1-17427-4,2001-01-01
"85.22, 85.22 KU","Jennings, Sharon.",Franklin haluaa olla iso,584,978-951-31-5339-7,2011-01-01
"84, 84.2","Nousiainen, Miika.",Vadelmavenepakolainen,584,978-951-1-22090-9,2007-01-01
"84, 84.2, 84.2 D, 84.2 JÄ, 84.2 Jän, 84.2 JÄN","Pakkanen, Outi.",Talvimies : jännitysromaani,583,978-951-1-22087-9,2007-01-01
"84.2, 84.2 D, 84.2 DEK, 84.2 JÄ, 84.2 Jän","Holt, Anne.",Kasvoton tuomio,581,978-951-20-8170-7,2010-01-01
"84.2, 84.2 KU, 85.11, 85.22, 85.22 KU","Bergström, Gunilla.",Mikko Mallikas ja sisukas muurahainen,581,951-31-3555-1,2006-01-01
84.2,"McEwan, Ian.",Makeannälkä,580,978-951-1-26933-5,2013-01-01
