"","Hyllypaikka","Tekijä","Nimeke","Lainojen.lkm.","ISBN.ISSN","Julkaisuvuosi","Vuosi"
"2062","84.2","Keskisarja, Teemu.","Raaka tie Raatteeseen : suurtaistelun ihmisten historia",531,"978-952-234-135-8","2009","2013"
"2063","84.2","Kettu, Katja, kirjoittaja.","Yöperhonen : romaani",1018,"978-951-0-41279-4","2015","2015"
"2064","84.2","Kettu, Katja.","Kätilö : romaani",1042,"978-951-0-38200-4","2011","2014"
"2065","84.2","Kettu, Katja.","Kätilö : romaani",1071,"978-951-0-38200-4","2011","2015"
"2066","84.2","Keyes, Marian, kirjoittaja.","Nainen joka varasti elämäni",920,"978-951-31-8208-3","2015","2015"
"2067","84.2","Keyes, Marian.","Mercy Closen mysteeri",573,"978-951-31-7107-0","2013","2014"
"2068","84.2","Keyes, Marian.","Mercy Closen mysteeri",847,"978-951-31-7107-0","01","2013"
"2069","84.2","Keyes, Marian.","Peiton alla : tarinoita kirjailijaelämästä",561,"978-951-31-6605-2","2012","2012"
"2070","84.2","Kilpi, Marko.","Kuolematon",720,"978-951-20-9307-6","2013","2015"
"2071","84.2","Kilpi, Marko.","Kuolematon",1203,"978-951-20-9307-6","2013","2014"
"2072","84.2","King, Stephen, kirjoittaja.","Herääminen",797,"978-951-31-8186-4","2015","2015"
"2073","84.2","King, Stephen, kirjoittaja.","Tervetuloa Joylandiin",450,"978-951-31-7860-4","2015","2015"
"2074","84.2","King, Stephen.","22.11.63",513,"978-951-31-6956-5","01","2013"
"2075","84.2","King, Stephen.","Tohtori Uni",786,"978-951-31-7332-6","2014","2014"
"2076","84.2","Kinney, Jeff, kirjoittaja, kuvittaja.","Neropatin päiväkirja. 8, Kohtalo kolhii /",774,"978-951-0-41245-9","2015","2015"
"2077","84.2","Kinney, Jeff.","Neropatin päiväkirja : [sarjakuvaromaani]. 6, Lunta tupaan /",869,"978-951-0-39931-6","2013","2014"
"2078","84.2","Kinney, Jeff.","Neropatin päiväkirja : [sarjakuvaromaani]. 6, Lunta tupaan /",1057,"978-951-0-39931-6","2013","2015"
"2079","84.2","Kinney, Jeff.","Neropatin päiväkirja : Greg Heffleyn julkaisu",815,"978-951-0-35482-7","2009","2014"
"2080","84.2","Kinney, Jeff.","Neropatin päiväkirja : Greg Heffleyn julkaisu",1080,"978-951-0-35482-7","2009","2015"
"2081","84.2","Kinney, Jeff.","Neropatin päiväkirja. [7], Kolmas pyörä /",521,"978-951-0-40697-7","2014","2014"
"2082","84.2","Kinney, Jeff.","Neropatin päiväkirja. [7], Kolmas pyörä /",1135,"978-951-0-40697-7","2014","2015"
"2083","84.2","Kinney, Jeff.","Neropatin päiväkirja. 2, Isoveli isottelee :Greg Heffleyn julkaisu",800,"978-951-0-36036-1","2010","2014"
"2084","84.2","Kinney, Jeff.","Neropatin päiväkirja. 2, Isoveli isottelee :Greg Heffleyn julkaisu",993,"978-951-0-36036-1","2010","2015"
"2085","84.2","Kinney, Jeff.","Neropatin päiväkirja. 3, Viimeinen oljenkorsi : Greg Heffleyn julkaisu /",1014,"978-951-0-37085-8","2011","2015"
"2086","84.2","Kinney, Jeff.","Neropatin päiväkirja. 4, Kovan onnen kesä : Greg Heffleyn julkaisu /",852,"978-951-0-38693-4","2012","2014"
"2087","84.2","Kinney, Jeff.","Neropatin päiväkirja. 4, Kovan onnen kesä : Greg Heffleyn julkaisu /",1051,"978-951-0-38693-4","2012","2015"
"2088","84.2","Kinney, Jeff.","Neropatin päiväkirja. 4,Kovan onnen kesä : Greg Heffleyn julkaisu",663,"978-951-0-38693-4","01","2013"
"2089","84.2","Kinney, Jeff.","Neropatin päiväkirja. 5, Karu totuus : Greg Heffleyn julkaisu /",812,"978-951-0-39649-0","2012","2014"
"2090","84.2","Kinney, Jeff.","Neropatin päiväkirja. 5, Karu totuus : Greg Heffleyn julkaisu /",1134,"978-951-0-39649-0","2012","2015"
"2091","84.2","Kinnunen, Tommi.","Neljäntienristeys",1799,"978-951-0-40382-2","2014","2015"
"2092","84.2","Kinnunen, Tommi.","Neljäntienristeys",1974,"978-951-0-40382-2","2014","2014"
"2093","84.2","Kinsella, Sophie, kirjoittaja.","Himoshoppaaja tähtien tiellä",721,"978-951-0-41120-9","2015","2015"
"2094","84.2","Kinsella, Sophie.","Hääyöaie",745,"978-951-0-40268-9","2014","2014"
"2095","84.2","Kinsella, Sophie.","Hääyöaie",819,"978-951-0-40268-9","2014","2015"
"2096","84.2","Kinsella, Sophie.","Muistatko minut?",515,"978-951-0-34999-1","2007","2012"
"2097","84.2","Kinsella, Sophie.","Soitellaan, soitellaan!",482,"978-951-0-38866-2","2012","2014"
"2098","84.2","Kinsella, Sophie.","Soitellaan, soitellaan!",732,"978-951-0-38866-2","01","2013"
"2099","84.2","Kirstilä, Pentti, kirjoittaja.","Jäähyväiset Hanhivaaralle",665,"978-952-289-236-2","2015","2015"
"2100","84.2","Kivelä, Anneli, kirjoittaja.","Taikatemppuja Katajamäellä",2141,"978-951-23-5964-6","2015","2015"
"2101","84.2","Kivelä, Anneli.","Katajamäellä kuohuu",573,"978-951-23-5080-3","2009","2015"
"2102","84.2","Kivelä, Anneli.","Katajamäellä kuohuu",581,"978-951-23-5080-3","2009","2014"
"2103","84.2","Kivelä, Anneli.","Katajamäellä kuohuu",647,"978-951-23-5080-3","01","2013"
"2104","84.2","Kivelä, Anneli.","Katajamäki yllättyy",691,"978-951-23-5386-6","2011","2015"
"2105","84.2","Kivelä, Anneli.","Katajamäki yllättyy",709,"978-951-23-5386-6","2011","2014"
"2106","84.2","Kivelä, Anneli.","Kotiin Katajamäelle",522,"978-951-23-4840-4","2007","2014"
"2107","84.2","Kivelä, Anneli.","Kotiin Katajamäelle",612,"978-951-23-4840-4","2007","2015"
"2108","84.2","Kivelä, Anneli.","Köydenvetoa Katajamäellä",752,"978-951-23-5558-7","2012","2015"
"2109","84.2","Kivelä, Anneli.","Köydenvetoa Katajamäellä",863,"978-951-23-5558-7","2012","2014"
"2110","84.2","Kivelä, Anneli.","Onnenkauppaa Katajamäellä",578,"978-951-23-4893-0","2007","2014"
"2111","84.2","Kivelä, Anneli.","Onnenkauppaa Katajamäellä",621,"978-951-23-4893-0","2007","2015"
"2112","84.2","Kivelä, Anneli.","Outo lintu Katajamäellä",917,"978-951-23-5699-7","2013","2015"
"2113","84.2","Kivelä, Anneli.","Outo lintu Katajamäellä",1395,"978-951-23-5699-7","2013","2014"
"2114","84.2","Kivelä, Anneli.","Salaisuuksia Katajamäellä",660,"978-951-23-5241-8","2010","2014"
"2115","84.2","Kivelä, Anneli.","Salaisuuksia Katajamäellä",688,"978-951-23-5241-8","2010","2015"
"2116","84.2","Kivelä, Anneli.","Salaisuuksia Katajamäellä",941,"978-951-23-5241-8","2003","2012"
"2117","84.2","Kivelä, Anneli.","Uusia tuulia Katajamäellä",524,"978-951-23-4950-0","2008","2014"
"2118","84.2","Kivelä, Anneli.","Uusia tuulia Katajamäellä",556,"978-951-23-4950-0","2008","2015"
"2119","84.2","Kivelä, Anneli.","Uusia tuulia Katajamäellä",604,"978-951-23-4950-0","01","2013"
"2120","84.2","Kivelä, Anneli.","Valoa ja varjoa Katajamäellä",1381,"978-951-23-5798-7","2014","2015"
"2121","84.2","Kivelä, Anneli.","Valoa ja varjoa Katajamäellä",1909,"978-951-23-5798-7","2014","2014"
"2122","84.2","Klaussmann, Liza.","Punaisen sään tiikerit",507,"978-951-0-39681-0","2013","2014"
"2123","84.2","Knutsson, Gösta, kirjoittaja.","Pekka Töpöhäntä urheilukilpailuissa",742,"951-20-3974-5","1992","2014"
"2124","84.2","Knutsson, Gösta.","Pekka Töpöhäntä ja lumiukko",552,"951-20-3978-8","01","2013"
"2125","84.2","Knutsson, Gösta.","Pekka Töpöhäntä käy koulua",626,"951-20-3973-7","01","2013"
"2126","84.2","Knutsson, Gösta.","Pekka Töpöhäntä teatterissa",838,"951-20-3982-6","01","2012"
"2127","84.2","Knutsson, Gösta.","Pekka Töpöhäntä tivolissa",757,"951-20-3975-3","1994","2013"
"2128","84.2","Knutsson, Gösta.","Pekka Töpöhäntä tivolissa",780,"951-20-3975-3","2012","2012"
"2129","84.2","Koivisto, Jari.","Miina ja Manu : talvirieha",580,"978-951-866-830-8","01","2013"
"2130","84.2","Koivisto, Jari.","Miina ja Manu Ahdin valtakunnassa",666,"978-951-866-829-2","01","2013"
"2131","84.2","Koivisto, Jari.","Miina ja Manu kaupungin kesässä",591,"978-951-866-761-5","01","2012"
"2132","84.2","Koivisto, Jari.","Miina ja Manu koulutiellä",530,"978-951-866-781-3","2013","2013"
"2133","84.2","Koivisto, Jari.","Miina ja Manu reissussa",477,"978-951-866-851-3","01","2013"
"2134","84.2","Koivisto, Jari.","Miina ja Manu sirkuksessa",588,"978-951-866-865-0","2013","2015"
"2135","84.2","Koivisto, Jari.","Miina ja Manu sirkuksessa",639,"978-951-866-865-0","2013","2014"
"2136","84.2","Koivisto, Jari.","Salaperäinen lentäjä",697,"978-951-866-802-5","01","2012"
"2137","84.2","Koivukari, Tapio.","Käpykaartilaiset : romaani",478,"978-951-0-39945-3","2013","2014"
"2138","84.2","Kokkonen, Kiti.","Hevisaurus ja sapelihammaslääkäri",473,"978-951-1-26570-2","01","2013"
"2139","84.2","Kolu, Siri.","Me Rosvolat",475,"978-951-1-24393-9","2010","2015"
"2140","84.2","Köngäs, Heidi, kirjoittaja.","Hertta : romaani",611,"978-951-1-28991-3","2015","2015"
"2141","84.2","Korolainen, Tuula.","Muumien värikäs päivä",554,"978-951-31-5973-3","01","2013"
"2142","84.2","Korolainen, Tuula.","Muumien värikäs päivä",648,"978-951-31-5973-3","01","2012"
"2143","84.2","Koskimies, Pirkko.","Pupu Tupuna : Pupulassa harrastetaan",529,"978-951-32-2369-4","01","2012"
"2144","84.2","Koskinen, Juha-Pekka.","Ystäväni Rasputin : romaani",437,"978-951-0-39772-5","2013","2014"
"2145","84.2","Krefeld, Michael Katz, kirjoittaja.","Kadonneet",510,"978-952-01-1074-1","2015","2015"
"2146","84.2","Krefeld, Michael Katz.","Langenneet",555,"978-952-01-1044-4","2014","2014"
"2147","84.2","Kuivaniemi, Mirja.","Siantappajat",542,"978-951-31-7639-6","2014","2014"
"2148","84.2","Kummu, Essi.","Lasteni tarina",460,"978-951-31-8013-3","2014","2015"
"2149","84.2","Kunnas, Mauri.","Hullunkurinen lintukirja",479,"978-951-20-7778-6","2012","2013"
"2150","84.2","Kunnas, Mauri.","Kaikkien aikojen avaruuskirja",700,"978-951-1-21600-1","01","2013"
"2151","84.2","Kunnas, Mauri.","Yökirja eli mitä kaikkea tapahtuukaan yöllä",821,"951-1-08044-X","01","2012"
"2152","84.2","Kunnas, Mauri.","Yötarinoita",668,"978-951-1-25118-7","2010","2015"
"2153","84.2","Kunnas, Mauri.","Yötarinoita",756,"978-951-1-25118-7","2002","2012"
"2154","84.2","Kunnas, Mauri.","Yötarinoita",807,"978-951-1-25118-7","2010","2014"
"2155","84.2","Kyrö, Tuomas.","Ilosia aikoja, Mielensäpahoittaja",505,"978-951-0-40775-2","2014","2015"
"2156","84.2","Kyrö, Tuomas.","Ilosia aikoja, Mielensäpahoittaja",1512,"978-951-0-40762-2","2014","2014"
"2157","84.2","Kyrö, Tuomas.","Ilosia aikoja, Mielensäpahoittaja",1759,"978-951-0-40762-2","2014","2015"
"2158","84.2","Kyrö, Tuomas.","Kerjäläinen ja jänis",440,"978-952-234-068-9","2011","2015"
"2159","84.2","Kyrö, Tuomas.","Kerjäläinen ja jänis",693,"978-952-234-068-9","2011","2014"
"2160","84.2","Kyrö, Tuomas.","Kerjäläinen ja jänis",898,"978-952-234-068-9","01","2013"
"2161","84.2","Kyrö, Tuomas.","Kunkku : iloittelu",541,"978-952-234-173-0","2013","2015"
"2162","84.2","Kyrö, Tuomas.","Kunkku : iloittelu",1219,"978-952-234-173-0","2013","2014"
"2163","84.2","Kyrö, Tuomas.","Mielensäpahoittaja",505,"978-951-0-36642-4","2010","2015"
"2164","84.2","Kyrö, Tuomas.","Mielensäpahoittaja",901,"978-951-0-36626-4","2010","2015"
"2165","84.2","Kyrö, Tuomas.","Mielensäpahoittaja",1100,"978-951-0-36626-4","2010","2014"
"2166","84.2","Kyrö, Tuomas.","Mielensäpahoittaja ja ruskeakastike",856,"978-951-0-39079-5","2012","2015"
"2167","84.2","Kyrö, Tuomas.","Mielensäpahoittaja ja ruskeakastike",1128,"978-951-0-39079-5","2012","2014"
"2168","84.2","Kyrö, Tuomas.","Miniä",439,"978-952-67705-0-5","2012","2014"
"2169","84.2","Kytömäki, Anni.","Kultarinta",731,"978-951-20-9484-4","2014","2014"
"2170","84.2","Kytömäki, Anni.","Kultarinta",1294,"978-951-20-9484-4","2014","2015"
"2171","84.2","Laaksonen, Heli, kirjoittaja.","Lähtisiks föli?",436,"978-951-1-29064-3","2015","2015"
"2172","84.2","Läckberg, Camilla.","Enkelintekijä",836,"978-951-20-9030-3","2013","2015"
"2173","84.2","Läckberg, Camilla.","Enkelintekijä",1432,"978-951-20-9030-3","2013","2014"
"2174","84.2","Läckberg, Camilla.","Jääprinsessa",443,"951-50-1615-0","2006","2014"
"2175","84.2","Läckberg, Camilla.","Majakanvartija",697,"978-951-20-8808-9","2012","2015"
"2176","84.2","Läckberg, Camilla.","Majakanvartija",882,"978-951-20-8808-9","2012","2014"
"2177","84.2","Läckberg, Camilla.","Merenneito",684,"978-951-20-8353-4","2011","2015"
"2178","84.2","Läckberg, Camilla.","Merenneito",819,"978-951-20-8353-4","2011","2014"
"2179","84.2","Läckberg, Camilla.","Pahanilmanlintu",587,"978-951-50-1856-4","01","2012"
"2180","84.2","Lagonegro, Melissa.","Martin paras syntymäpäivä",507,"978-951-32-3503-1","01","2013"
"2181","84.2","Lahiri, Jhumpa.","Tulvaniitty",457,"978-951-31-7640-2","2014","2014"
"2182","84.2","Lähteenmäki, Laura.","Ikkunat yöhön",595,"978-951-0-40383-9","2014","2015"
"2183","84.2","Lähteenmäki, Laura.","Ikkunat yöhön",817,"978-951-0-40383-9","2014","2014"
"2184","84.2","Laine, Matti.","Merkitty mies : rikosromaani",532,"978-952-299-030-3","2014","2015"
"2185","84.2","Lapidus, Jens.","Luksuselämää",736,"978-952-01-0257-9","01","2012"
"2186","84.2","Lapidus, Jens.","Vip-huone",782,"978-952-01-1088-8","2014","2015"
"2187","84.2","Larsson, Åsa.","Uhrilahja",523,"978-951-1-25369-3","2012","2015"
"2188","84.2","Larsson, Åsa.","Uhrilahja",707,"978-951-1-25369-3","2012","2014"
"2189","84.2","Laurain, Antoine, kirjoittaja.","Punaisen muistikirjan nainen",481,"978-951-0-40876-6","2015","2015"
"2190","84.2","Le Carré, John.","Hurmaava petturi",579,"978-951-31-6291-7","01","2013"
"2191","84.2","Lee, Harper, kirjoittaja.","Kaikki taivaan linnut",544,"978-951-24-0122-2","2015","2015"
"2192","84.2","Lego star wars : the padawan menace.","Lego star wars : oppipojan seikkailut [Videotallenne].",446,"6438044310450","2012","2015"
"2193","84.2","Lehtinen, Lasse.","Hiihtävä hautaustoimisto : romaani",690,"978-952-299-000-6","2013","2014"
"2194","84.2","Lehtinen, Tuija, kirjoittaja.","Armon aika",476,"978-951-1-28219-8","2014","2014"
"2195","84.2","Lehtinen, Tuija, kirjoittaja.","Armon aika",1866,"978-951-1-28219-8","2014","2015"
"2196","84.2","Lehtinen, Tuija, kirjoittaja.","Jatkoaika",449,"978-951-1-29065-0","2015","2015"
"2197","84.2","Lehtinen, Tuija.","Kolme miestä netissä",570,"978-951-1-24573-5","2010","2015"
"2198","84.2","Lehtinen, Tuija.","Kolme miestä netissä",656,"978-951-1-24573-5","2010","2014"
"2199","84.2","Lehtinen, Tuija.","Mies taskussa",580,"978-951-1-21806-7","01","2012"
"2200","84.2","Lehtinen, Tuija.","Miss Seinäruusu",584,"978-951-1-25511-6","2011","2015"
"2201","84.2","Lehtinen, Tuija.","Miss Seinäruusu",735,"978-951-1-25511-6","2011","2014"
"2202","84.2","Lehtinen, Tuija.","Morsiuskamari",892,"978-951-1-27361-5","2013","2015"
"2203","84.2","Lehtinen, Tuija.","Morsiuskamari",1637,"978-951-1-27361-5","2013","2014"
"2204","84.2","Lehtinen, Tuija.","Suklaapolkuja",442,"978-951-1-23006-9","2008","2014"
"2205","84.2","Lehtinen, Tuija.","Suklaapolkuja",761,"978-951-1-23006-9","01","2012"
"2206","84.2","Lehtinen, Tuija.","Tuhansien aamujen talo",614,"978-951-1-26735-5","01","2012"
"2207","84.2","Lehtinen, Tuija.","Tuhansien aamujen talo",703,"978-951-1-26735-5","2012","2015"
"2208","84.2","Lehtinen, Tuija.","Tuhansien aamujen talo",904,"978-951-1-26735-5","2012","2014"
"2209","84.2","Lehtolainen, Leena, kirjoittaja.","Oikeuden jalopeura",476,"978-951-31-6219-1","2011","2015"
"2210","84.2","Lehtolainen, Leena, kirjoittaja.","Oikeuden jalopeura",736,"978-951-31-6219-1","2011","2014"
"2211","84.2","Lehtolainen, Leena.","Kuusi kohtausta Sadusta",942,"978-951-31-8028-7","2014","2014"
"2212","84.2","Lehtolainen, Leena.","Kuusi kohtausta Sadusta",1301,"978-951-31-8028-7","2014","2015"
"2213","84.2","Lehtolainen, Leena.","Luonas en ollutkaan",448,"978-951-31-3861-5","2007","2015"
"2214","84.2","Lehtolainen, Leena.","Luonas en ollutkaan",510,"978-951-31-3861-5","2007","2014"
"2215","84.2","Lehtolainen, Leena.","Luonas en ollutkaan",659,"978-951-31-3861-5","2008","2013"
"2216","84.2","Lehtolainen, Leena.","Minne tytöt kadonneet",883,"978-951-31-5625-1","2010","2013"
"2217","84.2","Lehtolainen, Leena.","Paholaisen pennut",484,"978-951-31-6827-8","2012","2015"
"2218","84.2","Lehtolainen, Leena.","Paholaisen pennut",807,"978-951-31-6827-8","2012","2014"
"2219","84.2","Lehtolainen, Leena.","Väärän jäljillä",538,"978-951-31-4288-9","2008","2014"
"2220","84.2","Lehtolainen, Leena.","Viimeinen kesäyö ja muita kertomuksia",494,"951-31-3709-0","2006","2015"
"2221","84.2","Lehtolainen, Leena.","Viimeinen kesäyö ja muita kertomuksia",545,"951-31-3709-0","2006","2014"
"2222","84.2","Lehtosaari, Pekka.","Röllin sydän",508,"978-951-1-22003-9","01","2012"
"2223","84.2","Leino, Marko, kirjoittaja.","Syntymättömät",508,"978-951-851-645-6","2015","2015"
"2224","84.2","Leino, Marko.","Saasta",651,"978-951-851-556-5","2013","2014"
"2225","84.2","Leon, Donna, kirjoittaja.","Kultamuna",1484,"978-951-1-28607-3","2015","2015"
"2226","84.2","Leon, Donna.","Kasvot kuvassa : komisario Guido Brunettin tutkimuksia",863,"978-951-1-25010-4","2012","2012"
"2227","84.2","Leon, Donna.","Pedon palkka",782,"978-951-1-27869-6","2014","2015"
"2228","84.2","Leon, Donna.","Pedon palkka",1459,"978-951-1-27869-6","2014","2014"
"2229","84.2","Leon, Donna.","Unelmien tyttö : komisario Guido Brunettin tutkimuksia",714,"978-951-1-24050-1","01","2012"
"2230","84.2","Leon, Donna.","Uskon asia : komisario Guido Brunettin tutkimuksia",873,"978-951-1-25935-0","01","2013"
"2231","84.2","Les egyptochats.","Faraokissa",544,"978-951-1-25159-0","2013","2013"
"2232","84.2","Liksom, Rosa.","Hytti nro 6 : kertomus",435,"978-951-0-38274-5","2011","2015"
"2233","84.2","Liksom, Rosa.","Hytti nro 6 : kertomus",466,"978-951-0-38274-5","2011","2014"
"2234","84.2","Liksom, Rosa.","Väliaikainen",571,"978-952-01-1096-3","2014","2014"
"2235","84.2","Liksom, Rosa.","Väliaikainen",621,"978-952-01-1096-3","2014","2015"
"2236","84.2","Lindgren, Astrid.","Ronja, ryövärintytär",480,"951-0-10855-3","1981","2014"
"2237","84.2","Lindgren, Astrid.","Ronja, ryövärintytär",495,"951-0-10855-3","1981","2015"
"2238","84.2","Lindgren, Astrid.","Veljeni, Leijonamieli",528,"951-0-06396-7","1974","2014"
"2239","84.2","Lindgren, Astrid.","Veljeni, Leijonamieli",550,"951-0-06396-7","1974","2015"
"2240","84.2","Lindgren, Minna, kirjoittaja.","Ehtoolehdon tuho",1690,"978-951-851-646-3","2015","2015"
"2241","84.2","Lindgren, Minna.","Ehtoolehdon pakolaiset",1264,"978-951-851-584-8","2014","2015"
"2242","84.2","Lindgren, Minna.","Ehtoolehdon pakolaiset",1341,"978-951-851-584-8","2014","2014"
"2243","84.2","Lindgren, Minna.","Kuolema Ehtoolehdossa",1048,"978-951-851-505-3","2013","2015"
"2244","84.2","Lindgren, Minna.","Kuolema Ehtoolehdossa",1125,"978-951-851-505-3","2013","2014"
"2245","84.2","Lindstedt, Laura, kirjoittaja.","Oneiron : fantasia kuolemanjälkeisistä sekunneista",442,"978-951-851-544-2","2015","2015"
"2246","84.2","Linturi, Jenni.","Isänmaan tähden : romaani",564,"978-951-851-308-0","01","2012"
"2247","84.2","Lipasti, Roope, kirjoittaja.","Halkaisukirvesmies : elämä ja vähäisemmät teot",452,"978-952-300-029-2","2014","2014"
"2248","84.2","Lipasti, Roope.","Perunkirjoitus",517,"978-951-796-940-6","2013","2014"
"2249","84.2","Lönn, Pasi.","Lunastaja",492,"978-951-31-7425-5","2013","2015"
"2250","84.2","Lönn, Pasi.","Lunastaja",794,"978-951-31-7425-5","2013","2014"
"2251","84.2","Lönn, Pasi.","Viimeinen tili",444,"978-951-31-6278-8","2011","2014"
"2252","84.2","Lönn, Pasi.","Viimeinen tili",545,"978-951-31-6278-8","2009","2013"
"2253","84.2","Lönnroth, Heleena, kirjoittaja.","Uhri : jännitysromaani",492,"978-952-68149-1-9","2014","2015"
"2254","84.2","Lou!","Mimun maailma. 1.",441,"6416548553214","2011","2015"
"2255","84.2","Louhi, Kristiina.","Tompan uusi koti",673,"978-951-31-6578-9","01","2013"
"2256","84.2","Luhtanen, Sari.","Kaikkea kaunista",547,"978-951-31-6599-4","2012","2015"
"2257","84.2","Luhtanen, Sari.","Kaikkea kaunista",671,"978-951-31-6599-4","2012","2014"
"2258","84.2","Luhtanen, Sari.","Kaikkea kaunista",809,"978-951-31-6599-4","2005","2013"
"2259","84.2","Luhtanen, Sari.","Linssit huurussa",760,"978-951-31-7637-2","2014","2015"
"2260","84.2","Luhtanen, Sari.","Linssit huurussa",848,"978-951-31-7637-2","2014","2014"
"2261","84.2","Luhtanen, Sari.","Murusia",504,"978-951-31-7132-2","2013","2015"
"2262","84.2","Luhtanen, Sari.","Murusia",772,"978-951-31-7132-2","2013","2014"
"2263","84.2","Luhtanen, Sari.","Murusia",801,"978-951-31-7132-2","1994","2013"
"2264","84.2","Luhtanen, Sari.","Tuulin viemää",474,"978-951-31-6033-3","2011","2015"
"2265","84.2","Luhtanen, Sari.","Tuulin viemää",564,"978-951-31-6033-3","2011","2014"
"2266","84.2","Luhtanen, Sari.","Tuulin viemää",875,"978-951-31-6033-3","01","2012"
"2267","84.2","Lukkarila, Päivi.","Venlan kesäponi",519,"978-951-23-5518-1","01","2013"
"2268","84.2","Lundberg, Ulla-Lena.","Jää",838,"978-951-851-475-9","2012","2015"
"2269","84.2","Lundberg, Ulla-Lena.","Jää",1264,"978-951-851-475-9","2012","2014"
"2270","84.2","Lupton, Rosamund.","Mitä jäljelle jää",519,"978-951-20-8674-0","2013","2014"
"2271","84.2","Lupton, Rosamund.","Sisar",977,"978-951-20-8755-6","2011","2012"
"2272","84.2","Luther, Annika.","Opettajainhuone : [romaani]",516,"978-951-851-557-2","2013","2014"
"2273","84.2","MacMahon, Kathleen.","Näin se päättyy",637,"978-952-5637-97-7","2013","2014"
"2274","84.2","Magee, Audrey, kirjoittaja.","Sopimus",532,"978-952-300-117-6","2015","2015"
"2275","84.2","Mäki, Reijo, kirjoittaja.","Siivellä eläjä : kohtaamisia enkeleiden kanssa",997,"978-951-1-28622-6","2015","2015"
"2276","84.2","Mäki, Reijo, kirjoittaja.","Tulivuori",1487,"978-951-1-29066-7","2015","2015"
"2277","84.2","Mäki, Reijo.","Cowboy",1024,"978-951-1-28217-4","2014","2015"
"2278","84.2","Mäki, Reijo.","Cowboy",1418,"978-951-1-28217-4","2014","2014"
"2279","84.2","Mäki, Reijo.","Intiaani",675,"978-951-1-27390-5","2013","2015"
"2280","84.2","Mäki, Reijo.","Intiaani",1278,"978-951-1-27390-5","2013","2014"
"2281","84.2","Mäki, Reijo.","Lännen mies",499,"978-951-1-23036-6","01","2012"
"2282","84.2","Mäki, Reijo.","Mustasiipi",611,"978-951-1-25495-9","2011","2014"
"2283","84.2","Mäki, Reijo.","Sheriffi",741,"978-951-1-26321-0","2012","2014"
"2284","84.2","Malvaldi, Marco, kirjoittaja.","Kolmen kortin temppu",528,"978-951-31-7256-5","2015","2015"
"2285","84.2","Malvaldi, Marco.","Viiden korttipeli",615,"978-951-31-7100-1","2014","2014"
"2286","84.2","Mankell, Henning, kirjoittaja.","Ruotsalaiset saappaat",665,"978-951-1-29172-5","2015","2015"
"2287","84.2","Mankell, Henning.","Haudattu",653,"978-951-1-27763-7","2013","2015"
"2288","84.2","Mankell, Henning.","Haudattu",1143,"978-951-1-27763-7","2013","2014"
"2289","84.2","Manner, Max, kirjoittaja.","Jääkyynel",560,"978-952-289-247-8","2015","2015"
"2290","84.2","Manner, Max.","Bandiitti",437,"978-952-289-138-9","2014","2014"
"2291","84.2","Marklund, Liza, kirjoittaja.","Rautaveri",774,"978-951-1-29171-8","2015","2015"
"2292","84.2","Marklund, Liza.","Ajojahti",762,"978-951-1-26142-1","2013","2015"
"2293","84.2","Marklund, Liza.","Ajojahti",1846,"978-951-1-26142-1","2013","2014"
"2294","84.2","Marklund, Liza.","Panttivanki",523,"978-951-1-25911-4","2011","2014"
"2295","84.2","Marklund, Liza.","Postikorttimurhat",791,"978-951-1-24170-6","01","2012"
"2296","84.2","Marttila, Johanna.","Helkalan kilpakosijat",437,"978-951-23-5870-0","2014","2015"
"2297","84.2","Marttila, Johanna.","Lemmenkukkia",436,"951-23-4732-6","2006","2014"
"2298","84.2","Marttila, Johanna.","Lemmenkukkia",452,"951-23-4732-6","2006","2015"
"2299","84.2","Marttinen, Annamari, kirjoittaja.","Vapaa",535,"978-951-31-8025-6","2015","2015"
"2300","84.2","Marttinen, Annamari.","Mitä ilman ei voi olla",467,"978-951-31-7136-0","2013","2014"
"2301","84.2","Mater´s Tall Tales","Martin tarinatalli",519,"978-951-32-3197-2","2012","2013"
"2302","84.2","Matintupa, Tuula T.","Laululintu : jännitysromaani",499,"978-951-883-488-8","2013","2014"
"2303","84.2","Matintupa, Tuula T.","Syntymään tuomittu : jännitysromaani",703,"978-951-883-307-2","2010","2012"
"2304","84.2","Matintupa, Tuula T., kirjoittaja.","Pelitalo : jännitysromaani",761,"978-951-883-634-9","2014","2015"
"2305","84.2","McCall Smith, Alexander, kirjoittaja.","Pienten muutosten kauneussalonki",690,"978-951-1-28791-9","2015","2015"
"2306","84.2","McCall Smith, Alexander.","Häähuumaa lauantaina",659,"978-951-1-26228-2","2013","2014"
"2307","84.2","McCall Smith, Alexander.","Harhapolkuja savannilla",647,"978-951-1-26227-5","01","2013"
"2308","84.2","McCall Smith, Alexander.","Limpopon yksityisetsiväkoulu",562,"978-951-1-27897-9","2014","2015"
"2309","84.2","McCall Smith, Alexander.","Limpopon yksityisetsiväkoulu",765,"978-951-1-27897-9","2014","2014"
"2310","84.2","McCall Smith, Alexander.","Teetä ja sympatiaa",623,"978-951-1-23954-3","01","2012"
"2311","84.2","McEwan, Ian, kirjoittaja.","Lapsen oikeus",647,"978-951-1-28670-7","2015","2015"
"2312","84.2","McGrath, M. J.","Jään muisti",518,"978-952-01-0730-7","01","2012"
"2313","84.2","McGrath, M. J.","Lumipoika",516,"978-952-01-0878-6","2011","2013"
