Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,"Barreau, Nicolas.",Pieni elokuvateatteri Pariisissa,978-951-31-7794-2,2014,539
84.2 JÄN,"Bauer, Belinda.",Kadonneet lapset,978-951-23-5620-1,2013,539
84.2,"Lehtolainen, Leena.",Väärän jäljillä,978-951-31-4288-9,2008,538
84.2,"Havaste, Paula.",Tuulen vihat,978-951-20-9718-0,2014,538
84.2,"Tuominen, Pirjo.",Alakuloinen romanssi,951-31-3710-4,2006,537
84.2,"Jonasson, Jonas.",Satavuotias joka karkasi ikkunasta ja katosi,978-951-0-37010-0,2011,537
84.2,"Moyes, Jojo.","Ole niin kiltti, älä rakasta häntä",978-951-20-9290-1,2014,537
84.2,,Vilustunut lumiukko : 400 uutta koululaisvitsiä,978-951-1-26479-8,2012,537
84.2 JÄN,"Sarkola, Ritva.",Paratiisikäärme : jännitysromaani,978-952-202-416-9,2013,537
85.22,"Míler, Zdenk.",Myyrä ja sateenvarjo,978-951-31-3340-5(sid.),2005,536
84.2,"Havaste, Paula.",Kolme käskyä,978-951-20-9166-9,2013,534
84.2 JÄN,"Cussler, Clive.",Paholaisen portti,978-951-0-39517-2,2013,533
84.2,"Franzén, Peter.",Tumman veden päällä,978-951-31-5404-2,2010,533
84.2,,Älä lue pimeässä : 210 karmivaa tarinaa,978-951-1-25132-3,2011,532
85.22,"Korolainen, Tuula.",Kissa Killin kiukkupussi,978-951-31-3896-7,2007,532
84.2 D,"Nesbø, Jo.",Torakat,978-951-0-34900-7,2009,531
84.2 D,"Sipilä, Jarkko.",Katumurha,978-951-20-8335-0,2010,529
84.2,"Widmark, Martin.",Elokuvateatterin arvoitus,978-951-31-4036-6,2007,529
84.2,"Orkoma, Marja.",Unikkopolku 21,978-951-883-080-4,2010,529
84.2,"Lindgren, Astrid.","Veljeni, Leijonamieli",951-0-06396-7,1974,528
84.2,"Roberts, Nora.",Unelmien aika,978-951-20-7859-2,2009,528
84.2,"Raevaara, Tiina.",Laukaisu,978-952-299-017-4,2014,528
84.2,"Roberts, Nora.",Unelmien voima,978-951-20-7860-8,2009,527
84.2 D,"Manner, Max.",Räsynukke,978-952-289-045-0,2013,527
84.2,"Noble, Elizabeth.",Yhdessä jälleen,978-951-23-5462-7,2013,525
84.2,"Adler-Olsen, Jussi.",Vanki,978-951-20-8754-9,2012,525
84.2,"Jalo, Merja.",Jesse pääsiäiskoira,978-951-0-40103-3,2014,525
84.2 H,"Hulkko, Johanna.",Geoetsivät ja vaeltava aave,978-951-23-5709-3,2013,525
84.2,"Vilkkumaa, Maija.",Nainen katolla,978-952-67680-3-8,2013,525
84.2,"Hulkko, Johanna.",Geoetsivät ja rahakäärön arvoitus,978-951-23-5583-9,2013,524
84.2,"Kivelä, Anneli.",Uusia tuulia Katajamäellä,978-951-23-4950-0,2008,524
84.2,"Hämäläinen, Karo.",Ilta on julma : tragedia,978-951-0-40135-4,2013,523
84.2 D,"Nesbø, Jo.",Panssarisydän,978-951-0-36254-9,2010,523
84.2,"Marklund, Liza.",Panttivanki,978-951-1-25911-4,2011,523
84.2,"Widmark, Martin.",Muumion arvoitus,951-31-3694-9,2006,522
L84.2,"Moomin and the moonlight adventure, suomi",Muumin kuutamoseikkailu,978-951-0-37128-2,2010,522
84.2 D,"Läckberg, Camilla.",Pahanilmanlintu,978-951-50-1856-4,2009,522
84.2,"Kivelä, Anneli.",Kotiin Katajamäelle,978-951-23-4840-4,2007,522
85.22,"Kanto, Anneli.",Paavo Virtanen ja tyttöjen tavarat,978-951-23-5431-3,2011,521
84.2,"Widmark, Martin.",Sanomalehden arvoitus,978-951-31-3911-7,2008,521
84.2,"Hietamies, Eve.",Tarhapäivä,978-951-1-25928-2,2012,521
L85.12,"Koivisto, Jari.",Miina ja Manu : talvirieha,978-951-866-830-8,2012,521
84.2,"Kinney, Jeff.","Neropatin päiväkirja. [7], Kolmas pyörä /",978-951-0-40697-7,2014,521
84.2 D,"Ukkonen, Jyrki.",Ahneuden kartta,978-951-20-9485-1,2014,520
85.22,"Kunnas, Mauri.","Riku, Roope ja Ringo lentävät kuuhun",978-951-1-25807-0,2013,520
84.2,"Widmark, Martin.",Kullan arvoitus,951-31-3763-5,2006,520
3,Guinness world records 2010,Guinness world records 2010,978-951-32-2698-5,2009,519
84.2,"Holt, Anne.",Kuoleman tahdissa,978-951-20-8542-2,2011,519
84.2,"Lupton, Rosamund.",Mitä jäljelle jää,978-951-20-8674-0,2013,519
84.2,"Mustonen, Enni.",Parittomat,978-951-1-23023-6,2008,518
84.2,"Kanto, Anneli.",FC Tytsyt,978-951-23-5290-6,2010,518
84.2,"Lipasti, Roope.",Perunkirjoitus,978-951-796-940-6,2013,517
85.12 H,"Agnew, Kate.",Dinosauruspäivä,978-951-883-135-1,2010,517
85.22,"Koivisto, Jari.",Miina ja Manu reporttereina,978-951-866-820-9,2012,517
85.22,"Louhi, Kristiina.",Aino ja Pakkasen Poika,951-30-9415-4,1990,516
84.2,"James, P. D.",Syystanssiaiset,978-951-1-26352-4,2012,516
85.22,"Wolde, Gunilla.",Teemu kylpee,951-30-9066-3,1989,516
85.22,"Hill, Eric.",Puppe mummolassa,951-1-14401-4,1996,516
84.2,"Luther, Annika.",Opettajainhuone : [romaani],978-951-851-557-2,2013,516
85.22,"Kaarla, Riina.",Muumipeikko lentää : luukkukirja!,978-951-31-7117-9,2013,516
84.2,"Ruiz Zafón, Carlos.",Marina,978-951-1-26475-0,2013,515
84.2 D,"Jokinen, Seppo.",Koskinen ja pudotuspeli : rikosromaani,951-23-4832-2,2006,515
84.2 H ,"Kallioniemi, Tuula.",Konsta sydämen asialla,978-951-1-24307-6,2010,515
84.2,"Sahlberg, Asko.",Herodes : romaani,978-951-0-39546-2,2013,515
84.2,"Cookson, Catherine.",Kartanon portit,978-951-20-8954-3,2012,515
84.2,"Clark, Mary Higgins.",Perinnön varjo,978-951-31-5892-7,2011,514
99.13,,Wahlroos : epävirallinen elämäkerta,978-952-264-243-1,2013,514
84.2,"Bradman, Tony.",Kanerva ja Rolle,951-882-635-8,2006,514
85.22,"Rekola, Teija.",Eetu ja ruma Rusina,978-951-0-39558-5,2013,513
84.2,"Robinson, Peter.",Paholaisen ystävä,978-952-5410-74-7,2013,513
84.2,"Gutman, Dan.",Kaistapäistä kemiaa,978-951-32-3768-4,2013,512
84.2,"Juhani, Risto.",Ei tikkua ristiin,978-952-01-0576-1,2012,512
85.22,,Siniset sankarit,978-951-1-26063-9,2012,512
85.2,"Wolde, Gunilla.",Teemu on pieni,951-30-9068-X,1989,512
85.12 H,"Doyle, Malachy.",Jalkapalloaaveet,978-951-882-942-6,2009,511
84.2,"Lehtolainen, Leena.",Luonas en ollutkaan,978-951-31-3861-5,2007,510
85.32,"Neel, Julien.",Kesäblues,978-951-20-8637-5,2011,510
84.2 D,"Tegenfalk, Stefan.",Vihan aika,978-952-5637-86-1,2013,510
85.32,,Simpsonit : parhaat 2013,978-952-220-661-9,2013,508
85.22,"Koskimies, Pirkko.",Pupu Tupunan leikkimökki,978-951-32-2993-1,2010,508
84.2,"Kallioniemi, Tuula.",Konsta leirikoulussa,978-951-1-26490-3,2012,507
84.2,"Klaussmann, Liza.",Punaisen sään tiikerit,978-951-0-39681-0,2013,507
84.2,"Oranen, Raija.",Aurora,978-951-851-577-0,2014,507
67.41,"Niemelä, Reetta.",Tikkumäen talli,978-951-1-24909-2,2011,507
84.2 HELP,"Kallioniemi, Tuula.",Konsta ja näkymätön Niklas,978-951-1-21935-4,2007,507
85.22,Brave.,Urhea,978-951-32-3476-8,2012,507
85.22,"Dale, Penny.",Dinojen pelastuspartio,978-951-883-543-4,2014,506
84.2,"Jalo, Merja.",Jesse etsijäkoira,978-951-0-39348-2,2013,506
84.2,"Green, Jane.",Vuosi maalla,978-951-23-5461-0,2012,505
65.8,"Klang, Joachim.",Rakenna oma kaupunki : suuri Lego-palikkakirja,978-952-220-701-2,2013,505
85.22,"Kunnas, Mauri.",Koiramäen talvi,951-1-10221-4,1988,505
84.2,"Roberts, Nora.",Jotain uutta,978-951-20-8134-9,2010,505
84.2,"Webb, Holly.",Misu tahtoo ystävän,978-951-23-5743-7,2014,504
84.2,"Ivey, Eowyn.",Lumilapsi,978-952-279-059-0,2013,503
84.2,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja kielletty kampela",951-31-3412-1,2005,503
85.32,"Rosa, Don.","Roope Ankan elämä ja teot. 2, [Kaikki lisäseikkailut] /",978-951-32-2313-7,2007,503
84.2,"Heino, Marja-Liisa.",Astuit väärään autoon,978-951-0-39588-2,2013,502
84.2 JÄN,"Wennstam, Katarina.",Alfauros : jännitysromaani,978-951-1-26730-0,2013,501
85.22,"Louhi, Kristiina.",Ainon äiti on vihainen,951-30-9416-2,1990,501
84.2 D,"Rönnbacka, Christian.",Julma,978-952-279-062-0,2013,501
85.22,"Hill, Eric.",Puppe menee juhliin,951-1-12330-0,1992,501
85.22,"Kunnas, Mauri.",Koiramäen talossa,951-1-05857-6,1980,500
85.12 H,"Impey, Rose.",Piraatti-Pete ja aarrekartta,978-951-883-091-0,2010,500
84.2 H,"Pilkey, Dav, kirjoittaja.",Kapteeni Kalsari ja Hippi Helihousun hirvittävä paluu,978-951-31-7754-6,2014,500
3,Strikingly true.,Usko tai älä! : 2014,978-952-220-711-1,2013,499
84.2,"Matintupa, Tuula T.",Laululintu : jännitysromaani,978-951-883-488-8,2013,499
84.2,"Sandberg, Timo.",Vainooja : rikosromaani,978-951-23-5537-2,2012,499
99.1,"Yousafzai, Malala.","Minä olen Malala : koulutyttö, jonka Taliban yritti vaientaa",978-951-31-7644-0,2014,498
84.2,"Harris, Joanne.",Persikoiden aikaan,978-951-1-26932-8,2013,497
84.2,"Kepler, Lars.",Paganini ja paholainen : rikosromaani,978-951-31-5496-7,2011,497
84.2 D,"Katajamäki, Unto.",Viides vieras : jännitysromaani,978-951-883-530-4,2013,497
84.2,"Dillon, Lucy.",Uuden onnen jäljillä,978-951-20-8657-3,2013,496
84.2,"Binchy, Maeve.",Koko kadun kasvatti,978-951-0-38028-4,2011,496
84.2,"Tuominen, Pirjo.",Kotiopettaja,978-951-31-4287-2,2008,495
85.22,"Koskimies, Pirkko.",Pupu Tupuna neuvolassa,978-951-32-3478-2,2012,495
84.2,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja tanssiva konstaapeli",951-31-2818-0,2003,495
85.22 KU,"Tison, Annette.",Barbapapa,951-1-07044-4,1990,494
85.22,"Hill, Eric.",Mitä Puppe näkee?,978-951-1-26480-4,2012,494
84.2 - Kauhu,"Stine, R. L.",Nukkeni mun,978-951-0-34437-8,2008,493
85.22,"Wolde, Gunilla.",Sanna ja pikkuveli,951-31-2384-7,2002,492
85.22,"Koivisto, Jari.",Miina ja Manu kaupungin kesässä,978-951-866-761-5,2009,492
84.2,"Hämeen-Anttila, Virpi, kirjoittaja.",Railo : romaani,978-951-1-25510-9,2011,492
85.12,"Kurenniemi, Marjatta.",Onnelin ja Annelin talo,978-951-0-40444-7,2013,492
84.2,"Vuori, Kristiina.",Näkijän tytär,978-951-31-6771-4,2012,491
85.22,"Forde, Patricia.",Siilit eivät pidä korkeista paikoista,978-951-883-272-3,2011,490
85.22,"Koskimies, Pirkko.",Pupu Tupuna leikkipuistossa,978-951-32-2681-7,2009,489
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä Kööpenhaminassa,951-20-3983-4,1992,489
85.32,,Simpsonit : parhaat 2012,978-952-220-477-6,2012,489
84.2 HELPPO,"Kallioniemi, Tuula.",Karoliina ja oikukas uni,978-951-1-27894-8,2014,488
84.2 D,"Joensuu, Matti Yrjänä.",Harjunpää ja rautahuone,978-951-1-24742-5,2010,488
84.2,"Rooney, Anne.",Ihan likainen!,978-951-883-202-0,2011,488
84.2,"Fielding, Joy.",Henkeäsalpaava,978-951-0-38705-4,2012,488
85.22,"Jansson, Tove.",Kuka lohduttaisi Nyytiä?,951-0-08288-0,1979,488
84.2,"Kallioniemi, Tuula.",Reuhurinne. 1 /,978-951-1-22372-6,2008,488
58.13,Snakes and reptiles.,Käärmeet ja liskot,978-952-492-780-2,2013,488
84.2,"Nousiainen, Miika.",Metsäjätti,978-951-1-25534-5,2011,487
84.2,"Halverson, Seré Prince.",Äidinrakkaus,978-952-5637-88-5,2014,487
84.2,"Kähkönen, Sirpa.",Hietakehto : romaani,978-951-1-26320-3,2012,487
84.2,"Dicker, Joël.",Totuus Harry Quebertin tapauksesta,978-951-31-7305-0,2014,486
84.2,"Benton, Jim.","Rakas nuija päiväkirjani, täällä taas. 2, Hyvät tavat ärsyttävät /",978-951-32-3668-7,2013,486
84.2,"Hayden, Torey.",Viattomat,978-951-1-26021-9,2012,486
84.2,"Piekkari, Eija.",Kaislikon kätkössä : jännitysromaani,978-952-202-460-2,2013,486
85.32,Bart Simpson.,Bart Simpson : iso kiho!,978-952-220-743-2,2013,486
85.32,,Bart Simpson : parhaat 2012,978-952-220-478-3,2012,486
85.22,"Louhi, Kristiina.",Ainon kanssa,951-30-9412-X,1990,485
84.2,"Parvela, Timo.",Ella ja kiristäjä,951-31-0623-3,1995,485
84.2 H,"Lukkarila, Päivi.",Venla ratsastusleirillä,978-951-23-5707-9,2013,484
84.2,"Parvela, Timo.",Ella luokkaretkellä,951-31-1063-X,1997,484
85.22 KU,"Hill, Eric.",Puppe yökylässä,951-1-11436-0,1990,484
84.2,"Bradman, Tony.",Muumioiden yllätysjuhlat,951-882-477-0,2005,483
85.22,Moomin and the winter snow.,Muumi ja ensilumi,978-951-0-38603-3,2011,483
84.2,"Gutman, Dan.",Metkat matkaajat,978-951-32-3775-2,2013,482
99.16,"Ollila, Jorma.",Mahdoton menestys : kasvun paikkana Nokia,978-951-1-18117-0,2013,482
84.2,"Hotakainen, Kari.",Ihmisen osa,978-952-234-021-4,2009,482
84.2,"Kinsella, Sophie.","Soitellaan, soitellaan!",978-951-0-38866-2,2012,482
85.22,"Cousins, Lucy.",Maisa menee päiväkotiin,978-951-0-35049-2,2009,482
84.2,"Stedman, M. L.",Valo valtameren yllä,978-951-23-5621-8,2013,481
84.2,"Kallentoft, Mons.",Viides vuodenaika,978-951-0-39670-4,2014,481
84.2,"Stine, R. L.",Ihmissusien yö,978-951-32-3107-1,2011,481
85.22,"Nopola, Tiina.",Siiri ja kolme Ottoa,951-31-1874-6,2002,481
85.22,,Tuhatta ja sataa.,978-951-32-3791-2,2013,481
84.2,"Noronen, Paula.",Supermarsu tekee maalin,978-951-20-9196-6,2013,481
85.22,"Moran, Paul.",Missä mangusti luuraa?,978-951-20-8974-1,2012,480
84.2,"Erikson, Thomas.",Pelonkylväjät,978-952-492-846-5,2014,480
58,Sharks & other creatures of the deep.,Hait ja muut syvyyksien pedot,978-952-492-695-9,2012,480
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä ja lumiukko,951-20-3978-8,1992,480
84.2,"Roberts, Nora, kirjoittaja.",Etsijät,978-951-20-9571-1,2014,480
84.2,"Lindgren, Astrid.","Ronja, ryövärintytär",951-0-10855-3,1981,480
84.2,"Hirvisaari, Laila.","Minä, Katariina : romaani",978-951-1-25005-0,2011,480
85.32,,Simpsonit : jytkypaukku,978-952-220-412-7,2011,480
84.2,"Pakkanen, Outi.",Talvimies : jännitysromaani,978-951-1-22087-9,2007,479
85.22 KU,"Casey, Jo.",Prinsessojen lumottu maailma,978-951-32-3199-6,2011,479
84.2,"Morrison, Toni.",Koti,978-951-31-7218-3,2014,479
84.2,"Chamberlain, Diane.",Valheiden takaa,978-951-0-39100-6,2012,479
84.2 JÄN,"Blædel, Sara.",Nimimerkki Prinsessa,978-951-23-5544-0,2013,479
84.2,"Camilleri, Andrea.",Hämähäkin kärsivällisyys,978-951-0-38867-9,2013,478
84.2,"Koivukari, Tapio.",Käpykaartilaiset : romaani,978-951-0-39945-3,2013,478
67.451,"Niemelä, Reetta.",Tikkumäen koirat,978-951-1-26434-7,2013,478
85.22,"Bergström, Gunilla.","Lennä, sanoi Mikko Mallikas",951-31-1055-9,1997,477
84.2,"Tervo, Kati.",Sukupuu : romaani,978-951-0-40693-9,2014,477
84.2,"Nesbø, Jo.",Pelastaja,978-951-0-31892-8,2007,477
84.2,"Impey, Rose.",Piraatti-Pete ja varastettu aarre,978-951-883-150-4,2011,477
84.2 D,"Jansson, Anna.",Haudankaivaja,978-951-20-8100-4,2009,477
84.2,"Gutman, Dan.",Sähäkkää siivousta,978-951-32-3530-7,2012,476
84.2,"Lehtinen, Tuija, kirjoittaja.",Armon aika,978-951-1-28219-8,2014,476
69.6309,"Adams, Simon.",Titanic,978-951-32-3156-9,2011,475
85.12 H,"Goodhart, Pippa.",Kakkutesti,978-951-882-862-7,2008,475
85.22,But excuse me that is my book,Se on totta vieköön minun kirjani,978-951-0-36199-3,2010,475
84.2,"Kallioniemi, Tuula.",Karoliina ja vallaton pentu,978-951-1-26001-1,2012,475
84.2,"Adler, Elizabeth.",Monte Carlon jalokivet,978-951-20-8738-9,2012,475
84.2,"Atkinson, Kate.",Ihan tavallisena päivänä,978-951-50-2112-0,2011,474
84.2 D,"Kepler, Lars.",Hypnotisoija : rikosromaani,978-951-31-5274-1,2010,474
84.2,"Ropponen, Markku.",Pimento,978-952-5918-91-5,2012,474
84.2,"Iggulden, Conn.",Myrskylintu,978-951-1-27980-8,2014,474
85.22,"Dale, Penny.",Dinot vauhdissa,978-951-883-419-2,2013,473
84.2,"Benton, Jim.","Rakas nuija päiväkirjani, täällä taas. 1, Koulu, eikö se ikinä lopu? /",978-951-32-3644-1,2012,473
85.22,"KilBride, Sarah.",Hopea : lumimaan taikaponi,978-951-23-5465-8,2012,473
84.2 HELP,"Bradman, Tony.",Muumiot tv-tähtinä,951-882-634-X,2006,472
84.2,"Remes, Matti.",Pako,978-951-31-6280-1,2011,472
84.2,"Jalo, Merja.",Jesse kaverikoira,978-951-0-38463-3,2012,472
L85.32,Les egyptochats.,Faraokissa,978-951-1-25159-0,2011,471
85.32,,Ihan Ankkana : Aku Ankka 75 vuotta,978-951-32-2693-0,2009,471
84.2 D,"Söderberg, Alexander.",Andalusialainen ystävä,978-951-20-9088-4,2014,471
85.22,"Cousins, Lucy.","Maisa, Keke ja heiluva hammas",951-0-31510-9,2006,470
84.2,"Atkinson, Kate.",Kaikkein vähäpätöisin asia,978-951-52-2970-0,2012,470
84.2,"Mustonen, Enni.",Nimettömät,951-1-19759-2,2004,470
85.22,"Smallman, Steve.",Mörkki,978-951-883-545-8,2014,470
84.2,"McLain, Paula.",Nuoruutemme Pariisi,978-951-20-9105-8,2014,469
84.2,"Jalo, Merja.",Arvoitusten yö,978-951-0-40096-8,2014,469
85.32,,Bart Simpson : kepposten prinssi,978-952-220-413-4,2011,469
84.2,"Tuominen, Pirjo.",Naistenvalssi,978-951-31-4935-2,2009,468
84.2,"Steel, Danielle.",Kelpo nainen,978-951-0-38600-2,2012,468
85.12 H,"Wilding, Valerie.",Kaivuri ja kuormuri,978-951-882-941-9,2009,468
85.22 KU,"Míler, Zdenk.",Myyrä puhemiehenä,951-31-2511-4,2002,467
85.22 KU,"Harjanne, Maikki.",Minttu harrastaa,951-1-21061-0,2006,467
84.2,"Marttinen, Annamari.",Mitä ilman ei voi olla,978-951-31-7136-0,2013,467
N84.2,"Gutman, Dan.",Tyrmäävä terkkari,978-951-32-3493-5,2012,467
84.2,"Parvela, Timo.",Ella ja Pukari,951-31-1944-0,2000,466
84.2,"Cornwell, Patricia.",Punainen usva,978-951-1-25430-0,2012,466
85.22,"Tuomainen, Hannu.",Niko 2 : lentäjäveljekset,978-951-20-9001-3,2012,466
85.22,"Louhi, Kristiina.",Tompan juhlakirja,978-951-31-7140-7,2013,466
84.2,"Liksom, Rosa.",Hytti nro 6 : kertomus,978-951-0-38274-5,2011,466
84.2,"Sten, Viveca.",Syvissä vesissä,978-952-5918-68-7,2012,465
85.22,"Kaarla, Riina.","Yllätys kasvimaalla, Muumipappa!",978-951-31-6994-7,2012,465
84.2,"Rowling, J. K.",Paikka vapaana,978-951-1-26954-0,2012,465
84.2,"Preston, Douglas.",Kuolleiden kirja,978-951-20-9247-5,2013,465
85.22,"Bently, Peter.","Kissa, hiiri ja karkurijuna",978-951-883-525-0,2013,465
84.2,"Nykänen, Harri.",Paha paha tyttö,978-952-92-7216-7,2010,464
84.2 Fan ,"Hunter, Erin.",Villiin luontoon,978-951-884-460-3,2009,464
84.2,"Roberts, Nora.",Jotain sinistä,978-951-20-8226-1,2011,463
92.71,"Keskisarja, Teemu.",Viipuri 1918,978-952-234-187-7,2013,463
62.51 KU,"Cullis, Megan.",Iso kirja isoista ajoneuvoista,978-952-230-263-2,2012,462
84.2,"Kallioniemi, Tuula.","Konsta, kovanaama",978-951-1-23725-9,2009,462
84.2,"Nopola, Sinikka.",Risto Räppääjän elokuvakirja,978-951-31-4478-4,2008,462
84.2,,Hevarihiiri kuokkavieraana,978-951-1-22984-1,2008,461
84.2 HELP,"Fine, Anne.",Aamu ilman äitiä,978-951-882-807-8,2008,461
84.2,"Jalo, Merja.",Jesse karkukoira,978-951-0-35524-4,2009,461
84.2,"Impey, Rose.",Piraatti-Pete ja takaa-ajo merellä,978-951-883-151-1,2011,461
85.32,"Jarla, Pertti.",Fingerpori. 5 /,978-952-270-031-5,2012,461
85.12 H,"Agnew, Kate.",Meillä on kivaa!,978-951-883-011-8,2009,461
85.22,"Donaldson, Julia.",Urhea pikku Mörkyli,951-882-450-9,2004,460
89.5038,"Kunnas, Mauri.",Hullunkurinen kuvasanakirja : suomi-englanti,978-951-1-25901-5,2013,460
84.2 JÄN,"Kallentoft, Mons.",Kevätkuolema,978-951-0-39520-2,2013,460
85.22,"Tison, Annette.",Barbapapan teatteri,978-951-1-22417-4,2008,459
85.32,,Simpsonit : iso kirja. [Osa 1] /,978-952-220-742-5,2013,459
84.2 H,"Fine, Anne.",Pipsa ja punainen ilmapallo,978-951-883-519-9,2013,458
85.22,"KilBride, Sarah.",Neptunus : meren taikaponi,978-951-23-5588-4,2012,458
85.22,"Lindman, Mervi.",Memmuli karkaa sirkukseen,978-951-31-4668-9,2009,458
85.22,Mater´s Tall Tales,Martin tarinatalli,978-951-32-3197-2,2011,458
85.22,"Koivisto, Jari.",Miina ja Manu puutarhassa,978-951-866-796-7,2011,457
84.2,"Kallioniemi, Tuula.",Konsta kesälaitumilla,951-1-20875-6,2006,457
84.2,"Lahiri, Jhumpa.",Tulvaniitty,978-951-31-7640-2,2014,457
85.22,"Hubery, Julia.",Aapo tulee apuun,978-951-883-500-7,2013,457
84.2,"Olsson, Linda.",Kaikki hyvä sinussa,978-951-20-8408-1,2012,457
84.2 D,"Staun, Susanne.",Punainen merkki,978-951-0-38863-1,2014,456
84.2,"Jalo, Merja.",Jesse fanikoira,978-951-0-37722-2,2011,456
84.2 H ,"Parvela, Timo.",Ella ja kaverit. 4-7 /,951-31-3566-7,2006,456
84.2 D,"Jokinen, Seppo.",Koskinen ja raadonsyöjä : rikosromaani,951-23-4822-5,2006,456
85.22,"Buckingham, Matt.",Arkajalka Artturi,978-951-883-542-7,2014,456
84.2,"Fossum, Karin.",Minä näen pimeässä,978-951-0-39012-2,2012,455
84.2 SOTA,"Haapanen, Atso.",Punainen tähti,978-951-23-5736-9,2013,455
84.2,"Verdon, John.",Murhakierre,978-951-20-9195-9,2013,455
84.2 D,"Marklund, Liza.",Postikorttimurhat,978-951-1-24170-6,2010,455
65.8,"Elsmore, Warren.",Sinustako arkkitehti Lego-palikoilla? : kuuluisimmat nähtävyydet ja ohjeet yli 30 omaan rakennusprojektiin,978-952-240-194-6,2013,455
84.2,"Alasalmi, Päivi.",Joenjoen laulu,978-951-20-9295-6,2013,454
84.2 HELP,"Donaldson, Julia.",Lukkimo oppii laskemaan,951-882-445-2,2004,454
84.2 D,"Lönnroth, Heleena, kirjoittaja",Mystiset katoamiset : jännitysromaani,978-952-67286-9-8,2014,454
85.22,"Scarry, Richard.",Kissalan perhe,978-951-31-7368-5,2013,454
85.22,Cars storybook collection.,Tähtihetkiä,978-951-32-3083-8,2011,454
85.22,"Fuge, Charles.",Pikku dinojen lentomatka,978-951-883-333-1,2012,454
85.12 H,"Bedford, William.","Kiiltomato, joka kadotti kiiltonsa",978-951-883-067-5,2010,454
84.2 HELP,"Kallioniemi, Tuula.",Reuhurinteen ala-aste,951-1-14973-3,1997,453
85.22 KU,,Voimistelija,978-951-20-9432-5,2013,453
85.32,,Näin naapurissa : ankan elämää,978-951-32-2882-8,2010,453
85.22 KU,"Koskimies, Pirkko.",Pupu Tupuna tavaratalossa,978-951-32-2584-1,2008,453
84.2 Kauhu,"Stine, R. L.",Kuka katoaa seuraavaksi?,978-951-32-2823-1,2009,453
85.22,"Child, Lauren.",Himpun verran näkymätön,978-951-0-37830-4,2011,453
85.22,"Louhi, Kristiina.",Tomppa on iso,978-951-31-2548-6,2002,453
84.2,"Lipasti, Roope, kirjoittaja.",Halkaisukirvesmies : elämä ja vähäisemmät teot,978-952-300-029-2,2014,452
85.22,"Scarry, Richard.",Höyrylaivan arvoitus,978-951-31-7202-2,2012,452
85.22 KU,"Koskimies, Pirkko.",Pupu Tupuna päiväkerhossa,978-951-32-3101-9,2011,452
84.2,"Gutman, Dan.",Höperöt pöperöt,978-951-32-3492-8,2012,451
85.22,Secret of the wings.,Helinä-keiju ja siipien salaisuus,978-951-32-3485-0,2012,451
L85.12,"Sivunen, Pia.",Miina ja Manu juhlivat,978-951-866-826-1,2012,450
85.12 H,"Impey, Rose.",Piraatti-Pete ja pullopostin arvoitus,978-951-883-058-3,2010,450
85.22,"KilBride, Sarah.",Tähdikki : aavikon taikaponi,978-951-23-5589-1,2012,450
85.22,"Bergström, Gunilla.","Näkymätöntä, Mikko Mallikas!",951-31-1309-4,1998,450
85.32,"Poisson chat, suomi.",Kalajuttu,978-951-1-25160-6,2011,449
85.22,"Louhi, Kristiina.",Tomppa ja Taatelin maito,978-951-31-5234-5,2010,449
84.2,"Ingelman-Sundberg, Catharina.","Kakkua, kiitos!",978-951-52-3412-4,2014,449
85.22,"We honestly can look after your dog,suomi",Me ihan totta osataan hoitaa koiraa,978-951-0-35896-2,2010,448
85.22,"Hill, Eric.",Puppe leipoo,951-1-13385-3,1994,448
84.2 JÄN,"Piekkari, Eija.",Risteys : jännitysromaani,978-952-202-418-3,2013,448
84.2,"Webb, Holly.",Viisas pikku Nappula,978-951-23-5742-0,2014,448
84.2,"Gutman, Dan.",Liikaa liikkaa,978-951-32-3158-3,2011,446
85.22 KU,"Koivisto, Jari.",Miina ja Manu pajassa,978-951-866-740-0,2008,446
84.2,"Roberts, Nora.",Pedon yö,978-951-20-8132-5,2011,446
84.2,"Bulawayo, NoViolet.",Me tarvitaan uudet nimet,978-951-20-9139-3,2013,446
85.22,"Kaarla, Riina.","Missä kissa, Muumimamma?",978-951-31-6991-6,2012,446
84.2,"Rooney, Anne.",Kadonnut sukka,978-951-883-200-6,2011,446
85.32,"Rosa, Don.",Pako Kielletystä laaksosta ja muita Don Rosan parhaita,978-951-32-2887-3,2010,446
84.2,"Howard, Linda.",Yön huntu,978-951-0-38921-8,2012,446
85.22,"Kaarla, Riina.",Muumipeikko eksyy : luukkukirja!,978-951-31-5069-3,2009,444
84.2,"Mustonen, Enni.",Yllätysperintö : romaani,951-1-19029-6,2003,444
85.22,"Harjanne, Maikki.",Mintun lääkärikirja,978-951-1-28276-1,2014,444
84.2,"Lönn, Pasi.",Viimeinen tili,978-951-31-6278-8,2011,444
84.2,"Havaste, Paula.",Kaksi rakkautta,978-951-20-8206-3,2010,443
84.2,"Jalo, Merja.",Jesse turvakoira,978-951-0-34570-2,2008,443
